test,label,n_models,n_methods,r,p,significant
full_NC_vs_spearman_rank,group_near,20,22,0.5402003379914928,0.0001,True
full_NC_vs_jaccard_top1,group_near,20,22,0.3253750866275649,0.0011,True
full_NC_vs_jaccard_top3,group_near,20,22,0.30181096800444507,0.0006,True
full_NC_vs_jaccard_top5,group_near,20,22,0.46642137062758043,0.0001,True
