test,label,n_models,n_methods,r,p,significant
full_NC_vs_spearman_rank,group_mid,20,22,0.355228402115799,0.0006,True
full_NC_vs_jaccard_top1,group_mid,20,22,0.3881632709966641,0.0002,True
full_NC_vs_jaccard_top3,group_mid,20,22,0.38652482698775814,0.0003,True
full_NC_vs_jaccard_top5,group_mid,20,22,0.48952257407521516,0.0001,True
