test,label,n_models,n_methods,r,p,significant
full_NC_vs_spearman_rank,group_near,20,22,0.8555753454690265,0.0001,True
full_NC_vs_jaccard_top1,group_near,20,22,0.5280189237835382,0.0001,True
full_NC_vs_jaccard_top3,group_near,20,22,0.7914334166570329,0.0001,True
full_NC_vs_jaccard_top5,group_near,20,22,0.7737730257072496,0.0001,True
