test,label,n_models,n_methods,r,p,significant
full_NC_vs_spearman_rank,group_near,20,22,0.640587896457867,0.0001,True
full_NC_vs_jaccard_top1,group_near,20,22,0.541371324401245,0.0001,True
full_NC_vs_jaccard_top3,group_near,20,22,0.5900331564007231,0.0001,True
full_NC_vs_jaccard_top5,group_near,20,22,0.5613192911810488,0.0002,True
