nc_metric,method_distance,r,p,significant
var_collapse,spearman_rank,0.4416468525916191,0.0008,True
var_collapse,jaccard_top1,0.06361329501163775,0.2018,False
cdnv_score,spearman_rank,0.5377473699478903,0.0001,True
cdnv_score,jaccard_top1,0.10297269159074471,0.0812,False
bias_collapse,spearman_rank,0.14634344770846333,0.0753,False
bias_collapse,jaccard_top1,0.452526683912219,0.0005,True
equiangular_uc,spearman_rank,0.20149747272578777,0.0193,True
equiangular_uc,jaccard_top1,0.492949847966437,0.0001,True
equiangular_wc,spearman_rank,0.676309523205632,0.0001,True
equiangular_wc,jaccard_top1,0.18658481513446923,0.0637,False
equinorm_uc,spearman_rank,0.248199236137393,0.0126,True
equinorm_uc,jaccard_top1,0.20317958774620082,0.0293,True
equinorm_wc,spearman_rank,0.08816788350813798,0.151,False
equinorm_wc,jaccard_top1,0.45571798633755195,0.0006,True
max_equiangular_uc,spearman_rank,0.1611554631822823,0.0362,True
max_equiangular_uc,jaccard_top1,0.44912262799186375,0.0002,True
max_equiangular_wc,spearman_rank,0.42677797549449525,0.0012,True
max_equiangular_wc,jaccard_top1,0.38231803055489305,0.0009,True
self_duality,spearman_rank,0.16907584991154978,0.0357,True
self_duality,jaccard_top1,0.5167782394089233,0.0001,True
w_etf_diff,spearman_rank,0.5275665149937027,0.0001,True
w_etf_diff,jaccard_top1,0.010850428246132192,0.3684,False
M_etf_diff,spearman_rank,0.543321558620178,0.0001,True
M_etf_diff,jaccard_top1,0.004042316405421797,0.412,False
wM_etf_diff,spearman_rank,0.5515516224979059,0.0001,True
wM_etf_diff,jaccard_top1,0.013190716691376388,0.3618,False
