test,label,n_models,n_methods,r,p,significant
full_NC_vs_spearman_rank,group_all,20,22,0.7312698719036966,0.0001,True
full_NC_vs_jaccard_top1,group_all,20,22,0.4236556510579557,0.0004,True
full_NC_vs_jaccard_top3,group_all,20,22,0.6864923215591239,0.0001,True
full_NC_vs_jaccard_top5,group_all,20,22,0.6622830233561545,0.0001,True
