dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.43220496152812105,0.0005,True,0.6579236512363807,0.2257186897082597
var_collapse,jaccard_top1,0.362968028934345,0.0003,True,0.44837227103654387,0.08540424210219888
equiangular_uc,spearman_rank,0.7212353537534173,0.0001,True,0.6579236512363807,-0.06331170251703655
equiangular_uc,jaccard_top1,0.5563270714466266,0.0001,True,0.44837227103654387,-0.10795480041008276
equiangular_wc,spearman_rank,0.4162381618329177,0.0013,True,0.6579236512363807,0.24168548940346307
equiangular_wc,jaccard_top1,0.366326622724881,0.0003,True,0.44837227103654387,0.08204564831166289
equinorm_uc,spearman_rank,0.6939976660857725,0.0001,True,0.6579236512363807,-0.03607401484939177
equinorm_uc,jaccard_top1,0.4534101617223477,0.0001,True,0.44837227103654387,-0.0050378906858038475
equinorm_wc,spearman_rank,0.7048617733296215,0.0001,True,0.6579236512363807,-0.046938122093240775
equinorm_wc,jaccard_top1,0.39559436861383673,0.0002,True,0.44837227103654387,0.052777902422707135
max_equiangular_uc,spearman_rank,0.7453272704532805,0.0001,True,0.6579236512363807,-0.08740361921689976
max_equiangular_uc,jaccard_top1,0.5560871718901598,0.0001,True,0.44837227103654387,-0.1077149008536159
max_equiangular_wc,spearman_rank,0.43450305394535194,0.0008,True,0.6579236512363807,0.2234205972910288
max_equiangular_wc,jaccard_top1,0.3912761765974334,0.0001,True,0.44837227103654387,0.057096094439110456
self_duality,spearman_rank,0.794994760015787,0.0001,True,0.6579236512363807,-0.1370711087794062
self_duality,jaccard_top1,0.43853638922140303,0.0001,True,0.44837227103654387,0.009835881815140834
