method,nc_metric,rho,p,significant
Maha,max_equiangular_uc,0.7628111332393667,9.184423614724668e-05,True
Maha,max_equiangular_wc,0.018473730774717256,0.9383820834037183,False
Maha,self_duality,0.5680672213225556,0.008974947020962328,True
NNGuide,var_collapse,0.7615003346630156,9.601102149570672e-05,True
NNGuide,equiangular_uc,0.6788274895651383,0.0009988921642464599,True
NNGuide,equiangular_wc,-0.6848952213154412,0.0008627322592688155,True
NNGuide,equinorm_uc,0.596913110936049,0.005459794678534446,True
NNGuide,equinorm_wc,-0.36027157267423543,0.11867128121770419,False
NNGuide,max_equiangular_uc,0.6879290871905928,0.000800761718096969,True
NNGuide,max_equiangular_wc,-0.05840191809666553,0.8067876442366644,False
NNGuide,self_duality,0.5673329186533222,0.009084043087264172,True
NeCo,var_collapse,0.3936359316310362,0.08594910939652038,False
NeCo,equiangular_uc,0.7568164720333654,0.00011225579637985399,True
NeCo,equiangular_wc,-0.6174830571620316,0.003721533359188078,True
NeCo,equinorm_uc,0.3806923903588358,0.09773766364124922,False
NeCo,equinorm_wc,-0.25201836241754927,0.28375954291023675,False
NeCo,max_equiangular_uc,0.772044167647719,6.665395572850872e-05,True
NeCo,max_equiangular_wc,-0.03806923903588357,0.8733966562371165,False
NeCo,self_duality,0.4499784054041439,0.04650799997342632,True
PCA RecError global,var_collapse,-0.20270688020837538,0.3913833626827877,False
PCA RecError global,equiangular_uc,0.16522523066041164,0.4863413527973083,False
PCA RecError global,equiangular_wc,-0.4551343159395598,0.04375594323333217,True
PCA RecError global,equinorm_uc,0.2394235981329113,0.3093074382374193,False
PCA RecError global,equinorm_wc,-0.4023540339230395,0.07862325921947892,False
PCA RecError global,max_equiangular_uc,0.16599016228383948,0.48429701991082297,False
PCA RecError global,max_equiangular_wc,-0.6708450337462083,0.0012052601604273783,True
PCA RecError global,self_duality,0.24477811949690614,0.29828155782517674,False
PCE,var_collapse,-0.7394035437112434,0.0001950489910536173,True
PCE,equiangular_uc,-0.6945681798068617,0.0006781659119948752,True
PCE,equiangular_wc,0.862510814092766,1.0014061049699221e-06,True
PCE,equinorm_uc,-0.8868282996002272,1.9052011665032335e-07,True
PCE,equinorm_wc,0.7766396933945435,5.651266976018161e-05,True
PCE,max_equiangular_uc,-0.7044471582942679,0.0005253395939919628,True
PCE,max_equiangular_wc,0.7044471582942679,0.0005253395939919628,True
PCE,self_duality,-0.9225446064393109,7.1764996972325635e-09,True
PE,var_collapse,-0.39167790643728195,0.08766146391949246,False
PE,equiangular_uc,-0.3727379689886707,0.10554367931787,False
PE,equiangular_wc,0.6682009931870072,0.0012810695085656468,True
