dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.6358027742512248,0.0001,True,0.6755131650096009,0.039710390758376124
var_collapse,jaccard_top1,0.3716794095942066,0.0002,True,0.27414914826878706,-0.09753026132541953
equiangular_uc,spearman_rank,0.5585751008463649,0.0001,True,0.6755131650096009,0.11693806416323604
equiangular_uc,jaccard_top1,0.30335871891954724,0.0008,True,0.27414914826878706,-0.029209570650760186
equiangular_wc,spearman_rank,0.6048027055790527,0.0001,True,0.6755131650096009,0.07071045943054821
equiangular_wc,jaccard_top1,0.2701885285195314,0.0036,True,0.27414914826878706,0.003960619749255656
equinorm_uc,spearman_rank,0.6920686380919966,0.0001,True,0.6755131650096009,-0.01655547308239569
equinorm_uc,jaccard_top1,0.25360343331952356,0.0036,True,0.27414914826878706,0.020545714949263494
equinorm_wc,spearman_rank,0.7272414732953721,0.0001,True,0.6755131650096009,-0.05172830828577124
equinorm_wc,jaccard_top1,0.24394942268071296,0.0054,True,0.27414914826878706,0.0301997255880741
max_equiangular_uc,spearman_rank,0.5805228030479092,0.0001,True,0.6755131650096009,0.09499036196169175
max_equiangular_uc,jaccard_top1,0.3518763108479285,0.0003,True,0.27414914826878706,-0.07772716257914142
max_equiangular_wc,spearman_rank,0.5889015782755544,0.0001,True,0.6755131650096009,0.08661158673404645
max_equiangular_wc,jaccard_top1,0.24741496496131163,0.0057,True,0.27414914826878706,0.02673418330747543
self_duality,spearman_rank,0.7570596955139475,0.0001,True,0.6755131650096009,-0.08154653050434657
self_duality,jaccard_top1,0.28479331384491147,0.0025,True,0.27414914826878706,-0.01064416557612441
