nc_metric,method_distance,r,p,significant
var_collapse,spearman_rank,0.381982644024768,0.0011,True
var_collapse,jaccard_top1,0.12595686876701298,0.0688,False
equiangular_uc,spearman_rank,0.6452507173905647,0.0001,True
equiangular_uc,jaccard_top1,0.5112367026425821,0.0002,True
equiangular_wc,spearman_rank,0.7252143257675239,0.0001,True
equiangular_wc,jaccard_top1,0.560268355709326,0.0001,True
equinorm_uc,spearman_rank,0.5112691581376553,0.0001,True
equinorm_uc,jaccard_top1,0.4946748998289265,0.0002,True
equinorm_wc,spearman_rank,0.25257453287918774,0.0054,True
equinorm_wc,jaccard_top1,0.2837298324128909,0.0058,True
max_equiangular_uc,spearman_rank,0.7224945763096651,0.0001,True
max_equiangular_uc,jaccard_top1,0.5260551577916425,0.0002,True
max_equiangular_wc,spearman_rank,0.7971534047855446,0.0001,True
max_equiangular_wc,jaccard_top1,0.4927136337062568,0.0001,True
self_duality,spearman_rank,0.3365578417253852,0.0011,True
self_duality,jaccard_top1,0.3308002193569649,0.0021,True
