dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.36225212171308063,0.0017,True,0.40020767606441404,0.03795555435133341
var_collapse,jaccard_top1,0.3109354432756716,0.0014,True,0.4086176605045918,0.09768221722892023
equiangular_uc,spearman_rank,0.4227624851784646,0.0009,True,0.40020767606441404,-0.022554809114050556
equiangular_uc,jaccard_top1,0.44510138019250184,0.0001,True,0.4086176605045918,-0.03648371968791003
equiangular_wc,spearman_rank,0.41865795256538135,0.0011,True,0.40020767606441404,-0.01845027650096731
equiangular_wc,jaccard_top1,0.4250941790733254,0.0001,True,0.4086176605045918,-0.01647651856873361
equinorm_uc,spearman_rank,0.3887076364796756,0.0014,True,0.40020767606441404,0.011500039584738442
equinorm_uc,jaccard_top1,0.37590000220382097,0.0004,True,0.4086176605045918,0.032717658300770835
equinorm_wc,spearman_rank,0.4139270675757066,0.0013,True,0.40020767606441404,-0.013719391511292534
equinorm_wc,jaccard_top1,0.38696280752854206,0.0003,True,0.4086176605045918,0.021654852976049743
max_equiangular_uc,spearman_rank,0.4212639633612839,0.0009,True,0.40020767606441404,-0.02105628729686987
max_equiangular_uc,jaccard_top1,0.45239812413008385,0.0001,True,0.4086176605045918,-0.04378046362549204
max_equiangular_wc,spearman_rank,0.3902105322659666,0.0015,True,0.40020767606441404,0.009997143798447461
max_equiangular_wc,jaccard_top1,0.3716631831432895,0.0005,True,0.4086176605045918,0.03695447736130231
self_duality,spearman_rank,0.40922067681304924,0.0011,True,0.40020767606441404,-0.009013000748635203
self_duality,jaccard_top1,0.398967128200048,0.0002,True,0.4086176605045918,0.009650532304543824
