nc_metric,method_distance,r,p,significant
var_collapse,spearman_rank,0.28213069113030503,0.0059,True
var_collapse,jaccard_top1,-0.026778725502993057,0.5275,False
equiangular_uc,spearman_rank,0.32330941579341027,0.0014,True
equiangular_uc,jaccard_top1,0.10874658062684994,0.0977,False
equiangular_wc,spearman_rank,0.10637093590529641,0.1196,False
equiangular_wc,jaccard_top1,0.4343144548424501,0.002,True
equinorm_uc,spearman_rank,0.1953211804102016,0.0212,True
equinorm_uc,jaccard_top1,0.027738536452921122,0.2921,False
equinorm_wc,spearman_rank,-0.06084513066324557,0.7332,False
equinorm_wc,jaccard_top1,0.3185612542811253,0.0089,True
max_equiangular_uc,spearman_rank,0.31399061878658224,0.0019,True
max_equiangular_uc,jaccard_top1,0.029658158352777256,0.2923,False
max_equiangular_wc,spearman_rank,0.24242257271658751,0.0102,True
max_equiangular_wc,jaccard_top1,0.4976619775377026,0.0012,True
self_duality,spearman_rank,0.18800314276824545,0.0266,True
self_duality,jaccard_top1,0.48153715357891097,0.0011,True
