dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.32204693141452995,0.0041,True,0.3157606052665339,-0.006286326147996069
var_collapse,jaccard_top1,0.2219444595937937,0.0146,True,0.22481538295172335,0.0028709233579296556
equiangular_uc,spearman_rank,0.3156215117711913,0.0043,True,0.3157606052665339,0.0001390934953425793
equiangular_uc,jaccard_top1,0.22393202191851422,0.0149,True,0.22481538295172335,0.0008833610332091291
equiangular_wc,spearman_rank,0.31644557512095645,0.0044,True,0.3157606052665339,-0.000684969854422568
equiangular_wc,jaccard_top1,0.2268029452764439,0.0139,True,0.22481538295172335,-0.0019875623247205543
equinorm_uc,spearman_rank,0.3124171125671683,0.0036,True,0.3157606052665339,0.003343492699365569
equinorm_uc,jaccard_top1,0.22591958424323477,0.0126,True,0.22481538295172335,-0.0011042012915114252
equinorm_wc,spearman_rank,0.3092310842021528,0.0031,True,0.3157606052665339,0.006529521064381094
equinorm_wc,jaccard_top1,0.21730681416944575,0.0127,True,0.22481538295172335,0.007508568782277597
max_equiangular_uc,spearman_rank,0.31962722947668454,0.0042,True,0.3157606052665339,-0.00386662421015066
max_equiangular_uc,jaccard_top1,0.21620261287793435,0.0165,True,0.22481538295172335,0.008612770073788995
max_equiangular_wc,spearman_rank,0.3162916099940365,0.0044,True,0.3157606052665339,-0.0005310047275026153
max_equiangular_wc,jaccard_top1,0.2268029452764439,0.0141,True,0.22481538295172335,-0.0019875623247205543
self_duality,spearman_rank,0.3397914122920628,0.0019,True,0.3157606052665339,-0.0240308070255289
self_duality,jaccard_top1,0.14730045228762226,0.0403,True,0.22481538295172335,0.07751493066410109
