dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.26005969596458633,0.0078,True,0.30931323407127365,0.04925353810668731
var_collapse,jaccard_top1,0.47486580088955005,0.0002,True,0.47039797749408374,-0.004467823395466308
equiangular_uc,spearman_rank,0.3531377993436519,0.0014,True,0.30931323407127365,-0.04382456527237827
equiangular_uc,jaccard_top1,0.4518884234271524,0.0001,True,0.47039797749408374,0.018509554066931333
equiangular_wc,spearman_rank,0.2416120357760738,0.0092,True,0.30931323407127365,0.06770119829519985
equiangular_wc,jaccard_top1,0.4927370944714148,0.0001,True,0.47039797749408374,-0.02233911697733104
equinorm_uc,spearman_rank,0.3173324725456711,0.0028,True,0.30931323407127365,-0.00801923847439745
equinorm_uc,jaccard_top1,0.44593132556653087,0.0002,True,0.47039797749408374,0.024466651927552874
equinorm_wc,spearman_rank,0.36060941664591317,0.0009,True,0.30931323407127365,-0.051296182574639526
equinorm_wc,jaccard_top1,0.4165713432534673,0.0001,True,0.47039797749408374,0.053826634240616456
max_equiangular_uc,spearman_rank,0.3373206453286436,0.0021,True,0.30931323407127365,-0.02800741125736994
max_equiangular_uc,jaccard_top1,0.46444087963346214,0.0001,True,0.47039797749408374,0.005957097860621596
max_equiangular_wc,spearman_rank,0.26800370213738045,0.0071,True,0.30931323407127365,0.041309531933893195
max_equiangular_wc,jaccard_top1,0.5159272254288345,0.0001,True,0.47039797749408374,-0.04552924793475077
self_duality,spearman_rank,0.37871415750618703,0.001,True,0.30931323407127365,-0.06940092343491339
self_duality,jaccard_top1,0.44678233954661956,0.0001,True,0.47039797749408374,0.023615637947464185
