dropout,architecture,dataset,equiangular_wc,equinorm_wc,max_equiangular_wc,w_etf_diff
False,VGG13,cifar10,0.07160804954667882,0.01405787641803419,0.054343234996000876,0.199790296703577
False,VGG13,cifar100,0.060753129209790875,0.07358418652521707,0.04718093520828652,0.5338323175907135
False,VGG13,supercifar,0.07553369435999123,0.027125043152934927,0.057999653534756716,0.29140532927380663
False,VGG13,tinyimagenet,0.07470364570617671,0.053267327013115054,0.05638812084992722,0.7883291224638621
False,ViT,cifar10,0.036986535042524284,0.01406290270388122,0.10556875318288798,0.32236998677253725
False,ViT,cifar100,0.04503967389464372,0.02735320106148716,0.035834719985723476,0.41355894804000853
False,ViT,supercifar,0.035908690840005794,0.02170454300940032,0.05229166224598878,0.2546708285808563
False,ViT,tinyimagenet,0.03639456257224076,0.01775874979794022,0.02926977388560768,0.47409710884094236
True,VGG13,cifar10,0.11535671887298422,0.02714216718450184,0.09159343925615147,0.314677058160305
True,VGG13,cifar100,0.2407869615725108,0.2636967448251588,0.19109691466603956,1.072859958239964
True,VGG13,supercifar,0.18860333628124656,0.12811463458670505,0.13421088010072704,0.6208741340372298
True,VGG13,tinyimagenet,0.10520340030392004,0.10359385901441172,0.07597074558337526,0.9381992022196451
True,ViT,cifar10,0.04318470358848566,0.028232506662607137,0.08784251362085338,0.27943736314773554
True,ViT,cifar100,0.03878013938665386,0.0212661355733871,0.0315345965325832,0.3747342646121979
True,ViT,supercifar,0.03513640016317364,0.01912629026919598,0.0532212354242801,0.2562846213579178
True,ViT,tinyimagenet,0.03825266659259792,0.01990021355450148,0.03048556335270398,0.4935942947864532
