dropout,architecture,dataset,equiangular_uc,equinorm_uc,max_equiangular_uc,self_duality,var_collapse,cdnv_score,bias_collapse,M_etf_diff,wM_etf_diff
False,VGG13,cifar10,0.0651331357657909,0.026860328049709354,0.05275747328996654,0.0315200297782818,0.008325956606616527,0.4502457817395528,0.7729026744763057,0.18192524611949917,0.18865317553281782
False,VGG13,cifar100,0.1054918248738561,0.07450017380927285,0.07695151833551267,0.12404071260243651,0.023846198711544236,4.811888282639639,2.8820329138210843,0.7843659792627607,0.675744708946773
False,VGG13,supercifar,0.10965224024322294,0.07929991224987634,0.08733015673028094,0.1133854718257983,0.030963276005867405,1.5664469758669535,1.5424311028586493,0.38961070974667866,0.3510228276252746
False,VGG13,tinyimagenet,0.0903908568123976,0.07359105410675203,0.06680725887417789,0.03326463184008991,0.003865154366940207,4.378292202949524,1.9587613026301065,0.8739402532577515,0.8334972818692525
False,ViT,cifar10,0.24896467328071595,0.08663773238658898,0.21383740603923793,1.27141592502594,0.011954415030777401,17.283893013000487,1.8295207977294923,0.6028239369392395,0.27054379582405086
False,ViT,cifar100,0.13270758390426632,0.1066025778651237,0.0995930433273315,0.8566219449043274,0.0162418527528643,33.25042152404785,8.150393009185791,0.8869394898414612,0.768592894077301
False,ViT,supercifar,0.23994755744934076,0.14317134320735928,0.19533120095729822,1.0936486721038818,0.01532619427889578,42.08637008666992,2.9678504943847654,0.7606838822364808,0.4203857183456421
False,ViT,tinyimagenet,0.200807574391365,0.19661908447742457,0.1581242829561233,1.142916774749756,0.0821140900254249,76.66509857177735,10.139816284179688,1.1544586658477782,1.022726583480835
True,VGG13,cifar10,0.13124243132770058,0.07923080933590726,0.10447673884530857,0.07647664807736869,0.014173649655034096,1.0887041926383971,1.7060985962549846,0.34946254764993984,0.3383914935092131
True,VGG13,cifar100,0.22519832806927811,0.29776089489459984,0.178396509374891,0.19510371855327058,0.015356553473975468,3.895299448285784,9.600115108489991,1.0764787197113037,1.1149706568036761
True,VGG13,supercifar,0.22746551864677,0.25250149816274636,0.1717290921343697,0.2503519271810849,0.08316165353688924,2.2300609350204468,3.250871605343289,0.7189216997888354,0.7178900930616591
True,VGG13,tinyimagenet,0.14565623750289278,0.14507083644469576,0.10869422306617096,0.07853891948858892,0.009589696318531977,8.815470918019612,4.525751082102458,1.0599614063898721,1.0020922303199769
True,ViT,cifar10,0.12950162589550016,0.08417461514472958,0.10411193817853923,0.641424298286438,0.01060567740350958,20.292568397521972,3.362251806259155,0.3496455609798431,0.21197236180305482
True,ViT,cifar100,0.1559559643268585,0.0917879000306129,0.11870292127132409,0.9185102462768555,0.00647403066977856,25.26551513671875,5.985822963714599,0.955277967453003,0.7884894251823426
True,ViT,supercifar,0.25269855856895446,0.1262634173035621,0.20708919167518616,1.0532953262329101,0.017206154763698557,42.788671875,3.5100120544433593,0.7852380871772766,0.4438857913017273
True,ViT,tinyimagenet,0.257831472158432,0.2122217088937759,0.20697985589504236,1.1740962982177734,0.11420410424470898,78.07028503417969,15.15220603942871,1.2123462915420533,1.0858622789382935
