,var_collapse,cdnv_score,bias_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,w_etf_diff,M_etf_diff,wM_etf_diff,dataset,architecture,study,dropout,run,reward,lr
0,0.008060379885137081,0.371296226978302,0.5808768272399902,0.06262975931167603,0.07704213261604309,0.015166358090937138,0.015152854844927788,0.050990428775548935,0.06137866899371147,0.030664779245853424,0.2142772525548935,0.17521190643310547,0.19462467730045319,cifar10,VGG13,devries,False,1,2.2,
1,0.008474452421069145,0.38462498784065247,0.6408482789993286,0.06759507954120636,0.07649169862270355,0.020326128229498863,0.01450396329164505,0.0537293367087841,0.060892410576343536,0.02747899852693081,0.21279756724834442,0.18875190615653992,0.20001335442066193,cifar10,VGG13,devries,False,2,2.2,
2,0.008251870982348919,0.37646785378456116,0.4855908751487732,0.06956809759140015,0.07633065432310104,0.025479160249233246,0.015107664279639721,0.05661552771925926,0.06098894029855728,0.030948961153626442,0.21236537396907806,0.19411544501781464,0.2030930370092392,cifar10,VGG13,devries,False,3,2.2,
3,0.008042938075959682,0.37154656648635864,0.6064283847808838,0.06763968616724014,0.07683396339416504,0.018964016810059547,0.014010043814778328,0.05407249554991722,0.06183905154466629,0.030649051070213318,0.21371738612651825,0.18887215852737427,0.20191910862922668,cifar10,VGG13,devries,False,4,2.2,
4,0.008165731094777584,0.37531861662864685,0.52828449010849,0.06250535696744919,0.07784971594810486,0.021643972024321556,0.014112773351371288,0.050546228885650635,0.0625080019235611,0.02992495521903038,0.21644489467144012,0.174876406788826,0.19519278407096863,cifar10,VGG13,devries,False,5,2.2,
5,0.0160979013890028,1.5643616914749146,0.8944564461708069,0.11543674767017365,0.12490186095237732,0.0756678506731987,0.033245258033275604,0.09403949230909348,0.10042044520378113,0.06060882657766342,0.33820396661758423,0.3147071599960327,0.33164215087890625,cifar10,VGG13,devries,True,1,2.2,
6,0.016997648403048515,1.5431138277053833,1.0338950157165527,0.10484567284584045,0.1260012835264206,0.08426982164382935,0.03401244059205055,0.08206166326999664,0.10174261033535004,0.07104126363992691,0.34092947840690613,0.287717342376709,0.3216228783130646,cifar10,VGG13,devries,True,2,2.2,
7,0.017832322046160698,1.6079623699188232,0.999711811542511,0.11352742463350296,0.12317364662885666,0.08548589795827866,0.030329544097185135,0.0898897722363472,0.09919184446334839,0.06825505942106247,0.3339032828807831,0.3099258244037628,0.3284699320793152,cifar10,VGG13,devries,True,3,2.2,
8,0.01692403294146061,1.5514655113220215,0.9710810780525208,0.10900841653347015,0.1273343712091446,0.07794500142335892,0.0331793949007988,0.08812671154737473,0.10339412838220596,0.07046389579772949,0.3442190885543823,0.2983788847923279,0.3270018994808197,cifar10,VGG13,devries,True,4,2.2,
9,0.01765906624495983,1.6014692783355713,0.9915938973426819,0.11188087612390518,0.12516234815120697,0.0848664864897728,0.03155006468296051,0.08628495037555695,0.10146381705999374,0.07069472223520279,0.33884483575820923,0.30572715401649475,0.326715886592865,cifar10,VGG13,devries,True,5,2.2,
