dropout,architecture,dataset,equiangular_uc,equinorm_uc,max_equiangular_uc,self_duality,var_collapse,cdnv_score,bias_collapse,M_etf_diff,wM_etf_diff
False,VGG13,cifar10,0.06512903062005833,0.02684219752748802,0.05275376066565508,0.032952941240121866,0.00830055099601542,0.6304054896036784,0.7757519553105037,0.18191437373558678,0.18873130281766254
False,VGG13,cifar100,0.10515810251235957,0.07428985301937371,0.07671509246741019,0.1288826137781143,0.007918434520251991,6.172494029998779,2.882143645627158,0.7828902210508074,0.6762263877051217
False,VGG13,supercifar,0.10935227812992197,0.07895689581831292,0.08710414965947465,0.11540984320971699,0.028196570370346265,1.7471008433236017,1.5424038608868917,0.38900130026870305,0.35135036640697054
False,VGG13,tinyimagenet,0.09017543792724607,0.07343591488897797,0.06666684125860528,0.032251707712809205,0.002142854566530587,4.941792106628418,1.9586911122004191,0.8729008197784424,0.8324419399102528
False,ViT,cifar10,0.2489208489656448,0.08661300688982006,0.21380024850368495,1.2690502405166626,0.01191538386046882,28.146945571899415,1.8285722970962524,0.6027440428733826,0.26958857178688045
False,ViT,cifar100,0.13209951668977732,0.10617567449808116,0.0991387456655502,0.8535783410072326,0.0124853226356208,39.607696533203125,8.15006217956543,0.8850025057792663,0.7662253260612488
False,ViT,supercifar,0.2399061143398285,0.1431453615427017,0.19529788196086878,1.092165446281433,0.015285162813961462,46.7504280090332,2.970119762420654,0.7606001138687134,0.4195261299610138
False,ViT,tinyimagenet,0.19839883148670193,0.19456439912319182,0.15621963441371917,1.1293896436691284,0.03716931417584416,93.22553863525391,10.146673202514648,1.1513060092926026,1.014714503288269
True,VGG13,cifar10,0.13120862419406568,0.07917446630696451,0.10444825713833168,0.07722505343457059,0.014121615700423666,1.2000070750713348,1.7103340288003286,0.3493813922007878,0.338956389327844
True,VGG13,cifar100,0.23101777519498548,0.2895832704646246,0.18418359926768707,0.20132416869912825,0.021342163493058466,4.0442503792899,9.663131659371512,1.0785871369498117,1.1149502890450613
True,VGG13,supercifar,0.23258883224593266,0.2311455812719133,0.17561662892500557,0.2634714759058422,0.24469175313909844,2.3848699728647866,3.3298133903079563,0.7197950681050619,0.7294051276312934
True,VGG13,tinyimagenet,0.14540862788756687,0.14486559256911274,0.10851511483391121,0.07684022684892014,0.0092042930424213,9.303078778584798,4.525969878832499,1.0593881090482076,1.001399044195811
True,ViT,cifar10,0.12949589043855664,0.08417195230722423,0.10410735011100766,0.6412914991378784,0.01059963349252936,24.789661026000978,3.3613744258880613,0.3496315360069275,0.2119627624750137
True,ViT,cifar100,0.155452811717987,0.09137227535247798,0.1183404609560966,0.9189228653907776,0.0059844446368515,35.32612609863281,5.987030029296875,0.9539691567420959,0.7877865195274353
True,ViT,supercifar,0.25265886783599856,0.12624563723802562,0.2070572823286056,1.05298810005188,0.01717070303857322,48.95387268066406,3.5110540866851805,0.7851652503013611,0.44367387890815724
True,ViT,tinyimagenet,0.255527913570404,0.21066111028194429,0.20510752201080318,1.167465877532959,0.06727314889430994,94.31680603027344,15.151284408569335,1.2105140924453734,1.081271481513977
