,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,-3.197789310682708e-08,0.0018509778278594587,0.7577128857374191,0.4188477098941803,0
cifar100,4.1622311054654306e-05,0.07350532809051014,0.7972793728113174,0.522698163986206,1
lsun cropped,0.00041045577132309497,0.23261534658728564,0.8017973154783249,0.5903245806694031,1
tinyimagenet,0.00038766150217754534,0.2258550338645138,0.8265893757343292,0.6962762475013733,2
isun,0.00044648237001189807,0.22581326228724674,0.8188543617725372,0.5669589042663574,2
lsun resize,0.0004888642861152981,0.25134709391728405,0.8274411112070084,0.5819493532180786,2
places365,0.0008801911826987841,0.4569301893089598,0.8249910473823547,0.8948527574539185,3
svhn,0.0008823581317905127,0.4125056368392633,0.7983237653970718,0.6776358485221863,3
textures,0.0008423168390481894,0.4244485457253527,0.829649344086647,0.821533739566803,3
