,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,2.6878218512367267e-05,0.07483314373857126,0.7581098228693008,0.7031069397926331,0
cifar10,0.00018140042367045694,0.1705391168755985,0.7700642347335815,0.7510776519775391,1
tinyimagenet,0.0007612518272743251,0.23070525000895142,0.7839941382408142,0.8737947344779968,1
isun,0.0011879033203812828,0.38558389729516707,0.7607467323541641,0.7424600124359131,2
lsun resize,0.0013029764310972425,0.42437639986178877,0.7624936103820801,0.7720305919647217,2
lsun cropped,0.0011330758250010042,0.3998921058730821,0.7696039974689484,0.7351154088973999,2
svhn,0.0017170477249099302,0.6207963311050327,0.7566021084785461,0.8011883497238159,2
places365,0.0019591820705593312,0.5562486452266322,0.7939131408929825,1.0964276790618896,3
textures,0.001609389636790972,0.5245911736313638,0.797978401184082,1.0002655982971191,3
