,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,-1.1419905316500944e-07,0.0025959291436317023,0.7477456629276276,0.6014514565467834,0
cifar100,0.00014742860708151007,0.15419826899501038,0.8168297111988068,0.780785858631134,1
tinyimagenet,0.0009196995547870391,0.32647314955835466,0.8230506330728531,0.9072083234786987,1
isun,0.0012759524377663745,0.4338327109341763,0.8000564873218536,0.7962857484817505,2
lsun resize,0.0013804391108713787,0.46852349064850773,0.8101912140846252,0.8142002820968628,2
lsun cropped,0.0014013003518655775,0.4853169022681508,0.8076437562704086,0.7963371276855469,2
svhn,0.001725021056136109,0.6332126664131172,0.7993985116481781,0.8272116780281067,2
places365,0.0020800604105234567,0.6343281816811999,0.8565033674240112,1.1192132234573364,3
textures,0.001813003776176112,0.622823690341864,0.8528363108634949,1.029525637626648,3
