,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,-1.1694838456755008e-07,0.0032619128939130894,0.70430126786232,0.6025905609130859,0
cifar10,0.0001660989768225729,0.15898852467178803,0.7493852078914642,0.7268065214157104,1
tinyimagenet,0.0007542847251319618,0.2234746660075728,0.75115105509758,0.8435523509979248,1
isun,0.0011828549734274319,0.38294106095798675,0.7483851313591003,0.7128493189811707,2
lsun resize,0.0012965941971558247,0.42041099850837393,0.7562090754508972,0.738822340965271,2
lsun cropped,0.0011399808523198996,0.39991498060721836,0.7363504469394684,0.7120368480682373,2
svhn,0.0017063464099246594,0.6222221051240691,0.7511291354894638,0.7788575291633606,2
places365,0.0019294271605819091,0.5456193359463264,0.7752140611410141,1.0567599534988403,3
textures,0.001611239246181313,0.5232132717074854,0.7612740099430084,0.9779684543609619,3
