,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,7.289757485109405e-06,0.03333325003348064,0.77607861161232,0.459446519613266,0
cifar10,4.556926643288328e-05,0.0791302161529486,0.7905130088329315,0.48852789402008057,1
lsun cropped,0.00032420368186946824,0.17748452835730727,0.7948749512434006,0.53348308801651,1
tinyimagenet,0.00036749336697077694,0.1821893777216766,0.8074538260698318,0.6679964065551758,2
isun,0.00042333523056288237,0.1975101659747483,0.8034064322710037,0.515822172164917,2
lsun resize,0.00046002860557091906,0.21938690666783306,0.8085859417915344,0.5313782691955566,2
places365,0.0008702386405493634,0.4197198223957726,0.8077006787061691,0.8714261651039124,3
svhn,0.0008061613855371786,0.3753245632853147,0.8058415949344635,0.6340394020080566,3
textures,0.0007469033867699526,0.34983697168541694,0.8078456968069077,0.7792532444000244,3
