,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,-5.231286431595095e-08,0.0032087807144417385,0.7574412375688553,0.4849827289581299,0
cifar100,0.0003638873829425915,0.17760965329558873,0.7603217214345932,0.5713291764259338,1
cifar10,0.00038683925907412764,0.225333613441688,0.7599824517965317,0.570241391658783,1
isun,0.00040679458549425896,0.2243938334939744,0.7893451005220413,0.5275534987449646,1
lsun resize,0.00042431921136985905,0.24065924642164085,0.7931385487318039,0.5378270745277405,1
lsun cropped,0.0005722045364227046,0.2990556720067944,0.7733571529388428,0.5940973162651062,1
places365,0.0005507301637575068,0.26203999491831553,0.7847511470317841,0.7999491691589355,2
textures,0.0006993933614095126,0.3171249620895407,0.7804872840642929,0.7565755248069763,2
svhn,0.0011262880250092699,0.5334625642634384,0.7766176909208298,0.7015846967697144,3
