,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,2.687946976361211e-05,0.07483314455209229,0.7581098228693008,0.7031069397926331,0
cifar10,0.00018139440404761232,0.17053911426177817,0.7700642347335815,0.7510776519775391,1
tinyimagenet,0.0007612590981484058,0.23070524760393737,0.7839941382408142,0.8737947344779968,1
isun,0.0011879105912553634,0.3855838179597816,0.7607467323541641,0.7424600124359131,2
lsun resize,0.0013029729139769142,0.42437641154629063,0.7624936103820801,0.7720305919647217,2
lsun cropped,0.001133072307880676,0.399892117632081,0.7696039974689484,0.7351154088973999,2
svhn,0.0017170535078993331,0.6207963586462417,0.7566021084785461,0.8011883497238159,2
places365,0.0019591798046902564,0.5562486451404531,0.7939131408929825,1.0964277982711792,3
textures,0.0016093886221731336,0.5245911410325305,0.797978401184082,1.0002655982971191,3
