,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,-2.326472743519048e-07,0.0033745612054861427,0.7287343442440033,0.6093144416809082,0
cifar100,0.0007585464728033564,0.22407403664139586,0.7535271495580673,0.7670151591300964,1
cifar10,0.0009155207608960403,0.3246375015210322,0.7580706477165222,0.7720748782157898,1
isun,0.0013214329137410542,0.3997855547474821,0.7536203861236572,0.7094922065734863,1
lsun resize,0.0013894023561143688,0.4228473240041425,0.7602572292089462,0.722119927406311,1
lsun cropped,0.0014868229978483337,0.47147916203730256,0.7601291239261627,0.7139785885810852,1
places365,0.0013768399894034734,0.3790977796279764,0.7912712395191193,0.9598549008369446,2
textures,0.0014258472158911316,0.4628995001788167,0.7800211161375046,0.919743537902832,2
svhn,0.0022596309918087878,0.7366877746938341,0.7609500735998154,0.8393139839172363,3
