ArrayTaskID     ModelPath                                                       RankWeight                  RankFeature                 ASH            CUDA                 TemperatureScale      
1               cifar10_paper_sweep/devries_bbvgg13_do0_run1_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
2               cifar10_paper_sweep/devries_bbvgg13_do0_run2_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
3               cifar10_paper_sweep/devries_bbvgg13_do0_run3_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
4               cifar10_paper_sweep/devries_bbvgg13_do0_run4_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
5               cifar10_paper_sweep/devries_bbvgg13_do0_run5_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
6               cifar10_paper_sweep/devries_bbvgg13_do1_run1_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
7               cifar10_paper_sweep/devries_bbvgg13_do1_run2_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
8               cifar10_paper_sweep/devries_bbvgg13_do1_run3_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
9               cifar10_paper_sweep/devries_bbvgg13_do1_run4_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
10              cifar10_paper_sweep/devries_bbvgg13_do1_run5_rew2.2             --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
11              cifar10_paper_sweep/confidnet_bbvgg13_do0_run1_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
12              cifar10_paper_sweep/confidnet_bbvgg13_do0_run2_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
13              cifar10_paper_sweep/confidnet_bbvgg13_do0_run3_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
14              cifar10_paper_sweep/confidnet_bbvgg13_do0_run4_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
15              cifar10_paper_sweep/confidnet_bbvgg13_do0_run5_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
16              cifar10_paper_sweep/confidnet_bbvgg13_do1_run1_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
17              cifar10_paper_sweep/confidnet_bbvgg13_do1_run2_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
18              cifar10_paper_sweep/confidnet_bbvgg13_do1_run3_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
19              cifar10_paper_sweep/confidnet_bbvgg13_do1_run4_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
20              cifar10_paper_sweep/confidnet_bbvgg13_do1_run5_rew2.2           --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
21              cifar10_paper_sweep/dg_bbvgg13_do0_run1_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
22              cifar10_paper_sweep/dg_bbvgg13_do0_run1_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
23              cifar10_paper_sweep/dg_bbvgg13_do0_run1_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
24              cifar10_paper_sweep/dg_bbvgg13_do0_run1_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
25              cifar10_paper_sweep/dg_bbvgg13_do0_run2_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
26              cifar10_paper_sweep/dg_bbvgg13_do0_run2_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
27              cifar10_paper_sweep/dg_bbvgg13_do0_run2_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
28              cifar10_paper_sweep/dg_bbvgg13_do0_run2_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
29              cifar10_paper_sweep/dg_bbvgg13_do0_run3_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
30              cifar10_paper_sweep/dg_bbvgg13_do0_run3_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
31              cifar10_paper_sweep/dg_bbvgg13_do0_run3_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
32              cifar10_paper_sweep/dg_bbvgg13_do0_run3_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
33              cifar10_paper_sweep/dg_bbvgg13_do0_run4_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
34              cifar10_paper_sweep/dg_bbvgg13_do0_run4_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
35              cifar10_paper_sweep/dg_bbvgg13_do0_run4_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
36              cifar10_paper_sweep/dg_bbvgg13_do0_run4_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
37              cifar10_paper_sweep/dg_bbvgg13_do0_run5_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
38              cifar10_paper_sweep/dg_bbvgg13_do0_run5_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
39              cifar10_paper_sweep/dg_bbvgg13_do0_run5_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
40              cifar10_paper_sweep/dg_bbvgg13_do0_run5_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
41              cifar10_paper_sweep/dg_bbvgg13_do1_run1_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
42              cifar10_paper_sweep/dg_bbvgg13_do1_run1_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
43              cifar10_paper_sweep/dg_bbvgg13_do1_run1_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
44              cifar10_paper_sweep/dg_bbvgg13_do1_run1_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
45              cifar10_paper_sweep/dg_bbvgg13_do1_run2_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
46              cifar10_paper_sweep/dg_bbvgg13_do1_run2_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
47              cifar10_paper_sweep/dg_bbvgg13_do1_run2_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
48              cifar10_paper_sweep/dg_bbvgg13_do1_run2_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
49              cifar10_paper_sweep/dg_bbvgg13_do1_run3_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
50              cifar10_paper_sweep/dg_bbvgg13_do1_run3_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
51              cifar10_paper_sweep/dg_bbvgg13_do1_run3_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
52              cifar10_paper_sweep/dg_bbvgg13_do1_run3_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
53              cifar10_paper_sweep/dg_bbvgg13_do1_run4_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
54              cifar10_paper_sweep/dg_bbvgg13_do1_run4_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
55              cifar10_paper_sweep/dg_bbvgg13_do1_run4_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
56              cifar10_paper_sweep/dg_bbvgg13_do1_run4_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
57              cifar10_paper_sweep/dg_bbvgg13_do1_run5_rew2.2                  --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
58              cifar10_paper_sweep/dg_bbvgg13_do1_run5_rew3                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
59              cifar10_paper_sweep/dg_bbvgg13_do1_run5_rew6                    --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
60              cifar10_paper_sweep/dg_bbvgg13_do1_run5_rew10                   --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale
61              cifar10_paper_sweep/devries_bbvgg13_do0_run1_rew2.2             --rank_weight               --rank_feature              None           --use_cuda           --temperature_scale
62              cifar10_paper_sweep/devries_bbvgg13_do0_run2_rew2.2             --rank_weight               --rank_feature              None           --use_cuda           --temperature_scale
63              cifar10_paper_sweep/devries_bbvgg13_do0_run3_rew2.2             --rank_weight               --rank_feature              None           --use_cuda           --temperature_scale
64              cifar10_paper_sweep/devries_bbvgg13_do0_run4_rew2.2             --rank_weight               --rank_feature              None           --use_cuda           --temperature_scale
65              cifar10_paper_sweep/devries_bbvgg13_do0_run5_rew2.2             --rank_weight               --rank_feature              None           --use_cuda           --temperature_scale
66              cifar10_paper_sweep/devries_bbvgg13_do1_run1_rew2.2             --rank_weight               --rank_feature              None           --use_cuda           --temperature_scale
67              cifar10_paper_sweep/devries_bbvgg13_do1_run2_rew2.2             --rank_weight               --rank_feature              None           --use_cuda           --temperature_scale
