encoder,source,n_per_class,seed,family,variant,ood,trial_key,augrc_base,augrc_var,delta_augrc
clip_vitl14,cifar10,25,1,Maha,global,cifar100,maha,160.8036,147.6573,13.1462
clip_vitl14,cifar10,25,1,GradNorm,class pred,cifar100,gradnorm_cp,193.6748,187.5148,6.1599
clip_vitl14,cifar10,25,1,Maha,class pred,cifar100,maha_cp,160.8036,215.4604,-54.6568
clip_vitl14,cifar10,25,1,PCA RecError,class pred,cifar100,recerr_cp,178.7912,164.4156,14.3756
clip_vitl14,cifar10,25,1,PCA RecError,class,cifar100,recerr_class,178.7912,167.7152,11.076
clip_vitl14,cifar10,25,1,MLS,global,tinyimagenet,mls,146.9428,148.7853,-1.8425
clip_vitl14,cifar10,25,1,Energy,global,tinyimagenet,energy,146.9447,148.7865,-1.8417
clip_vitl14,cifar10,25,1,MSR,global,tinyimagenet,msr,144.7548,145.8245,-1.0697
clip_vitl14,cifar10,25,1,GradNorm,global,tinyimagenet,gradnorm,231.3585,140.4764,90.8821
clip_vitl14,cifar10,25,1,Maha,global,tinyimagenet,maha,133.1215,134.1,-0.9785
clip_vitl14,cifar10,25,1,GradNorm,class pred,tinyimagenet,gradnorm_cp,231.3585,155.6611,75.6974
clip_vitl14,cifar10,25,1,Maha,class pred,tinyimagenet,maha_cp,133.1215,201.5481,-68.4266
clip_vitl14,cifar10,25,1,PCA RecError,class pred,tinyimagenet,recerr_cp,135.3687,133.3485,2.0203
clip_vitl14,cifar10,25,1,PCA RecError,class,tinyimagenet,recerr_class,135.3687,133.8633,1.5054
clip_vitl14,cifar10,25,1,MLS,global,lsun resize,mls,131.6133,132.0426,-0.4293
clip_vitl14,cifar10,25,1,Energy,global,lsun resize,energy,131.6161,132.045,-0.4289
clip_vitl14,cifar10,25,1,MSR,global,lsun resize,msr,135.5867,135.8841,-0.2974
clip_vitl14,cifar10,25,1,GradNorm,global,lsun resize,gradnorm,144.9208,143.6804,1.2404
clip_vitl14,cifar10,25,1,Maha,global,lsun resize,maha,137.5616,134.7924,2.7691
clip_vitl14,cifar10,25,1,GradNorm,class pred,lsun resize,gradnorm_cp,144.9208,213.0606,-68.1398
clip_vitl14,cifar10,25,1,Maha,class pred,lsun resize,maha_cp,137.5616,176.6895,-39.128
clip_vitl14,cifar10,25,1,PCA RecError,class pred,lsun resize,recerr_cp,152.4744,141.209,11.2654
clip_vitl14,cifar10,25,1,PCA RecError,class,lsun resize,recerr_class,152.4744,146.7785,5.6959
clip_vitl14,cifar10,25,1,MLS,global,isun,mls,118.287,118.8194,-0.5324
clip_vitl14,cifar10,25,1,Energy,global,isun,energy,118.289,118.8216,-0.5326
clip_vitl14,cifar10,25,1,MSR,global,isun,msr,123.0145,123.5165,-0.5021
clip_vitl14,cifar10,25,1,GradNorm,global,isun,gradnorm,133.5586,134.7408,-1.1821
clip_vitl14,cifar10,25,1,Maha,global,isun,maha,126.2654,122.6429,3.6225
clip_vitl14,cifar10,25,1,GradNorm,class pred,isun,gradnorm_cp,133.5586,206.7262,-73.1676
clip_vitl14,cifar10,25,1,Maha,class pred,isun,maha_cp,126.2654,154.442,-28.1766
clip_vitl14,cifar10,25,1,PCA RecError,class pred,isun,recerr_cp,147.4302,133.6078,13.8224
clip_vitl14,cifar10,25,1,PCA RecError,class,isun,recerr_class,147.4302,139.5024,7.9278
clip_vitl14,cifar10,25,1,MLS,global,places365,mls,144.5159,147.0199,-2.5041
clip_vitl14,cifar10,25,1,Energy,global,places365,energy,144.5175,147.0214,-2.5038
clip_vitl14,cifar10,25,1,MSR,global,places365,msr,143.4057,143.8765,-0.4708
clip_vitl14,cifar10,25,1,GradNorm,global,places365,gradnorm,266.5551,132.4665,134.0886
clip_vitl14,cifar10,25,1,Maha,global,places365,maha,132.5765,130.5034,2.0731
clip_vitl14,cifar10,25,1,GradNorm,class pred,places365,gradnorm_cp,266.5551,140.7868,125.7683
clip_vitl14,cifar10,25,1,Maha,class pred,places365,maha_cp,132.5765,214.422,-81.8455
clip_vitl14,cifar10,25,1,PCA RecError,class pred,places365,recerr_cp,134.0933,132.1809,1.9124
clip_vitl14,cifar10,25,1,PCA RecError,class,places365,recerr_class,134.0933,132.6307,1.4626
clip_vitl14,cifar10,25,1,MLS,global,lsun cropped,mls,131.6621,131.9659,-0.3038
clip_vitl14,cifar10,25,1,Energy,global,lsun cropped,energy,131.663,131.9653,-0.3023
clip_vitl14,cifar10,25,1,MSR,global,lsun cropped,msr,137.039,137.67,-0.631
clip_vitl14,cifar10,25,1,GradNorm,global,lsun cropped,gradnorm,143.9706,139.9579,4.0128
clip_vitl14,cifar10,25,1,Maha,global,lsun cropped,maha,153.6761,137.4342,16.2419
clip_vitl14,cifar10,25,1,GradNorm,class pred,lsun cropped,gradnorm_cp,143.9706,164.9392,-20.9686
clip_vitl14,cifar10,25,1,Maha,class pred,lsun cropped,maha_cp,153.6761,183.1087,-29.4326
clip_vitl14,cifar10,25,1,PCA RecError,class pred,lsun cropped,recerr_cp,190.786,169.3472,21.4388
clip_vitl14,cifar10,25,1,PCA RecError,class,lsun cropped,recerr_class,190.786,173.1608,17.6252
clip_vitl14,cifar10,25,1,MLS,global,textures,mls,76.835,76.2385,0.5964
clip_vitl14,cifar10,25,1,Energy,global,textures,energy,76.8353,76.2373,0.598
clip_vitl14,cifar10,25,1,MSR,global,textures,msr,84.671,84.4987,0.1723
clip_vitl14,cifar10,25,1,GradNorm,global,textures,gradnorm,178.8225,71.0305,107.792
clip_vitl14,cifar10,25,1,Maha,global,textures,maha,72.8517,69.4894,3.3623
clip_vitl14,cifar10,25,1,GradNorm,class pred,textures,gradnorm_cp,178.8225,72.7726,106.0499
clip_vitl14,cifar10,25,1,Maha,class pred,textures,maha_cp,72.8517,106.4792,-33.6275
clip_vitl14,cifar10,25,1,PCA RecError,class pred,textures,recerr_cp,75.4132,72.2135,3.1997
clip_vitl14,cifar10,25,1,PCA RecError,class,textures,recerr_class,75.4132,72.9713,2.442
clip_vitl14,cifar10,25,1,MLS,global,svhn,mls,270.1166,271.0943,-0.9777
clip_vitl14,cifar10,25,1,Energy,global,svhn,energy,270.1134,271.0898,-0.9764
clip_vitl14,cifar10,25,1,MSR,global,svhn,msr,276.767,278.8088,-2.0418
clip_vitl14,cifar10,25,1,GradNorm,global,svhn,gradnorm,276.0801,269.0599,7.0203
clip_vitl14,cifar10,25,1,Maha,global,svhn,maha,275.0429,270.3553,4.6876
clip_vitl14,cifar10,25,1,GradNorm,class pred,svhn,gradnorm_cp,276.0801,270.2948,5.7853
clip_vitl14,cifar10,25,1,Maha,class pred,svhn,maha_cp,275.0429,310.4741,-35.4312
clip_vitl14,cifar10,25,1,PCA RecError,class pred,svhn,recerr_cp,286.3103,274.8316,11.4787
clip_vitl14,cifar10,25,1,PCA RecError,class,svhn,recerr_class,286.3103,278.2067,8.1036
clip_vitl14,cifar10,25,2,MLS,global,cifar100,mls,140.6395,141.2423,-0.6029
clip_vitl14,cifar10,25,2,Energy,global,cifar100,energy,140.6406,141.2452,-0.6045
clip_vitl14,cifar10,25,2,MSR,global,cifar100,msr,146.0399,146.3029,-0.263
clip_vitl14,cifar10,25,2,GradNorm,global,cifar100,gradnorm,197.8569,163.2259,34.631
clip_vitl14,cifar10,25,2,Maha,global,cifar100,maha,162.0743,146.916,15.1583
clip_vitl14,cifar10,25,2,GradNorm,class pred,cifar100,gradnorm_cp,197.8569,187.6734,10.1835
clip_vitl14,cifar10,25,2,Maha,class pred,cifar100,maha_cp,162.0743,224.996,-62.9217
clip_vitl14,cifar10,25,2,PCA RecError,class pred,cifar100,recerr_cp,181.132,165.942,15.1899
clip_vitl14,cifar10,25,2,PCA RecError,class,cifar100,recerr_class,181.132,169.5888,11.5432
clip_vitl14,cifar10,25,2,MLS,global,tinyimagenet,mls,147.5913,148.6448,-1.0535
clip_vitl14,cifar10,25,2,Energy,global,tinyimagenet,energy,147.5896,148.6461,-1.0565
clip_vitl14,cifar10,25,2,MSR,global,tinyimagenet,msr,151.3557,150.6634,0.6924
clip_vitl14,cifar10,25,2,GradNorm,global,tinyimagenet,gradnorm,237.2233,144.6996,92.5238
