encoder,source,n_per_class,seed,family,variant,ood,trial_key,augrc_base,augrc_var,delta_augrc
clip_vitl14,cifar10,100,0,GradNorm,class pred,textures,gradnorm_cp,154.7457,67.9179,86.8278
clip_vitl14,cifar10,100,0,Maha,class pred,textures,maha_cp,70.6324,69.4247,1.2077
clip_vitl14,cifar10,100,0,PCA RecError,class pred,textures,recerr_cp,71.0662,68.4272,2.639
clip_vitl14,cifar10,100,0,PCA RecError,class,textures,recerr_class,71.0662,68.9731,2.0931
clip_vitl14,cifar10,100,0,MLS,global,svhn,mls,265.2771,265.4322,-0.155
clip_vitl14,cifar10,100,0,Energy,global,svhn,energy,265.2756,265.43,-0.1544
clip_vitl14,cifar10,100,0,MSR,global,svhn,msr,269.2457,270.6982,-1.4525
clip_vitl14,cifar10,100,0,GradNorm,global,svhn,gradnorm,271.2994,266.1856,5.1139
clip_vitl14,cifar10,100,0,Maha,global,svhn,maha,272.0579,269.305,2.753
clip_vitl14,cifar10,100,0,GradNorm,class pred,svhn,gradnorm_cp,271.2994,266.6277,4.6717
clip_vitl14,cifar10,100,0,Maha,class pred,svhn,maha_cp,272.0579,292.5552,-20.4973
clip_vitl14,cifar10,100,0,PCA RecError,class pred,svhn,recerr_cp,280.9981,272.9746,8.0235
clip_vitl14,cifar10,100,0,PCA RecError,class,svhn,recerr_class,280.9981,274.1046,6.8935
clip_vitl14,cifar10,100,1,MLS,global,cifar100,mls,137.4802,137.879,-0.3987
clip_vitl14,cifar10,100,1,Energy,global,cifar100,energy,137.4834,137.8821,-0.3986
clip_vitl14,cifar10,100,1,MSR,global,cifar100,msr,141.7396,141.7343,0.0053
clip_vitl14,cifar10,100,1,GradNorm,global,cifar100,gradnorm,192.3591,159.4652,32.8938
clip_vitl14,cifar10,100,1,Maha,global,cifar100,maha,168.6529,152.3217,16.3312
clip_vitl14,cifar10,100,1,GradNorm,class pred,cifar100,gradnorm_cp,192.3591,162.4542,29.9049
clip_vitl14,cifar10,100,1,Maha,class pred,cifar100,maha_cp,168.6529,176.9296,-8.2766
clip_vitl14,cifar10,100,1,PCA RecError,class pred,cifar100,recerr_cp,174.1457,158.2695,15.8762
clip_vitl14,cifar10,100,1,PCA RecError,class,cifar100,recerr_class,174.1457,161.1041,13.0416
clip_vitl14,cifar10,100,1,MLS,global,tinyimagenet,mls,145.0808,145.92,-0.8393
clip_vitl14,cifar10,100,1,Energy,global,tinyimagenet,energy,145.0811,145.9192,-0.8381
clip_vitl14,cifar10,100,1,MSR,global,tinyimagenet,msr,145.9631,145.9891,-0.026
clip_vitl14,cifar10,100,1,GradNorm,global,tinyimagenet,gradnorm,228.4694,140.89,87.5794
clip_vitl14,cifar10,100,1,Maha,global,tinyimagenet,maha,131.7937,129.8232,1.9704
clip_vitl14,cifar10,100,1,GradNorm,class pred,tinyimagenet,gradnorm_cp,228.4694,140.6936,87.7759
clip_vitl14,cifar10,100,1,Maha,class pred,tinyimagenet,maha_cp,131.7937,133.3293,-1.5356
clip_vitl14,cifar10,100,1,PCA RecError,class pred,tinyimagenet,recerr_cp,132.286,130.274,2.012
clip_vitl14,cifar10,100,1,PCA RecError,class,tinyimagenet,recerr_class,132.286,130.7107,1.5753
clip_vitl14,cifar10,100,1,MLS,global,lsun resize,mls,129.5067,129.5044,0.0023
clip_vitl14,cifar10,100,1,Energy,global,lsun resize,energy,129.5094,129.5059,0.0035
clip_vitl14,cifar10,100,1,MSR,global,lsun resize,msr,133.8586,133.5517,0.3069
clip_vitl14,cifar10,100,1,GradNorm,global,lsun resize,gradnorm,142.5148,134.0238,8.491
clip_vitl14,cifar10,100,1,Maha,global,lsun resize,maha,136.5579,132.8769,3.681
clip_vitl14,cifar10,100,1,GradNorm,class pred,lsun resize,gradnorm_cp,142.5148,147.3449,-4.8302
clip_vitl14,cifar10,100,1,Maha,class pred,lsun resize,maha_cp,136.5579,149.2874,-12.7296
clip_vitl14,cifar10,100,1,PCA RecError,class pred,lsun resize,recerr_cp,146.9663,139.4138,7.5525
clip_vitl14,cifar10,100,1,PCA RecError,class,lsun resize,recerr_class,146.9663,141.1556,5.8107
