feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
cdnv_score,0.1548525921320159,0.11967657536270118,7,1
equiangular_wc,0.2823240705782709,0.11695406444221663,2,2
max_equiangular_wc,0.3060646013062597,0.09542631039458756,1,3
equinorm_uc,0.17789300359591853,0.0879224292174288,4,4
wM_etf_diff,0.11762035090887016,0.08294461386439063,13,5
self_duality,0.19674662936419243,0.07287390397730191,3,6
M_etf_diff,0.1274181185239331,0.06929807302095756,12,7
w_etf_diff,0.12847678759447545,0.06860185955643534,11,8
var_collapse,0.17120324259687278,0.06289462642297892,5,9
equinorm_wc,0.13363528207848485,0.06113911760903921,10,10
bias_collapse,0.1507791697404625,0.056662666639724676,8,11
equiangular_uc,0.1616295080039115,0.05614434994626189,6,12
max_equiangular_uc,0.14875872937114915,0.04946140954597556,9,13
