Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,max_equiangular_wc,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTMmean,max_equiangular_wc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,self_duality,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTMmean,self_duality,,,,
"(-inf, 0.01)",25,0.625,17,8,0.32,-0.3448404862917297,0.08046278013473693,0.010008307423125064,CTMmean,,var_collapse,0.0,-0.7134305370643748,-26.98812414943557
"[0.01, inf)",15,0.375,13,2,0.13333333333333333,0.7731898882334816,0.18041097392114572,0.02200590481408167,CTMmean,,var_collapse,1.0,-0.7134305370643748,73.01187585056442
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,var_collapse,2.0,-0.7134305370643748,3.8554463070622242
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,var_collapse,3.0,-0.7134305370643748,3.8554463070622242
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,equiangular_uc,0.0,0.0,3.8554463070622242
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equiangular_uc,1.0,0.0,3.8554463070622242
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equiangular_uc,2.0,0.0,3.8554463070622242
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,equiangular_wc,0.0,0.0,3.8554463070622242
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equiangular_wc,1.0,0.0,3.8554463070622242
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equiangular_wc,2.0,0.0,3.8554463070622242
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,equinorm_uc,0.0,0.0,3.8554463070622242
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equinorm_uc,1.0,0.0,3.8554463070622242
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equinorm_uc,2.0,0.0,3.8554463070622242
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,equinorm_wc,0.0,0.0,3.8554463070622242
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equinorm_wc,1.0,0.0,3.8554463070622242
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equinorm_wc,2.0,0.0,3.8554463070622242
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,max_equiangular_uc,0.0,0.0,3.8554463070622242
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,max_equiangular_uc,1.0,0.0,3.8554463070622242
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,max_equiangular_uc,2.0,0.0,3.8554463070622242
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,max_equiangular_wc,0.0,0.0,3.8554463070622242
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,max_equiangular_wc,1.0,0.0,3.8554463070622242
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,max_equiangular_wc,2.0,0.0,3.8554463070622242
