,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
GE,1.1946792733968716,-0.1612583413946199,-0.07281463164301244,0.8524473823037574,-0.5018458242738383,-0.19872263432835335,-0.4744035213035238,0.31242948366651285
GradNorm,1.1946792733968716,-0.1612583413946199,-0.07281463164301244,0.8524473823037574,-0.5018458242738383,-0.19872263432835335,-0.4744035213035238,0.31242948366651285
Residual,-1.1946792733968152,0.161258341394614,0.0728146316430246,-0.8524473823037201,0.5018458242738597,0.19872263432835288,0.4744035213035759,-0.31242948366653445
ViM,-0.62299067983428,-0.7303211056520099,0.48136419768150573,-0.7213660016628696,0.1495111542307484,-0.7591141529179466,-0.10017577178847442,-0.5205699830131263
pNML,-0.3329070260222408,0.6477265774719021,-0.00439420937087626,-0.10933585298518152,0.7296543624252474,0.8133591205955649,1.5559947068088935,-0.3471611728491882
