feature,rf_gini_importance,rf_rank
equinorm_uc,0.3211304312190388,1
var_collapse,0.30681329604396534,2
self_duality,0.16797768114797948,3
max_equiangular_wc,0.1450279246219861,4
equinorm_wc,0.020118733228066864,5
equiangular_uc,0.020052215085693274,6
equiangular_wc,0.01015336792547996,7
max_equiangular_uc,0.008726350727790202,8
dropout,9.802675764374074e-17,9
