feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
var_collapse,0.2941055295180405,0.1261467757887151,1,1
bias_collapse,0.22940616564342386,0.1090446214687381,3,2
equiangular_wc,0.10514440671164209,0.09629836481253189,12,3
max_equiangular_uc,0.13698893564306072,0.09619169488610499,10,4
equinorm_uc,0.20876419085678002,0.09309518150999534,5,5
w_etf_diff,0.16322880237142484,0.09141304437850156,7,6
self_duality,0.2651101938893989,0.08550949158802329,2,7
equinorm_wc,0.20879084281381907,0.07412435450394081,4,8
equiangular_uc,0.19066605455695304,0.06894952736593463,6,9
wM_etf_diff,0.15405570032818416,0.048557147781758264,8,10
M_etf_diff,0.14408905868731606,0.04287614098329648,9,11
cdnv_score,0.09648779755335546,0.035858308836569645,13,12
max_equiangular_wc,0.11317449735356862,0.03193534609589004,11,13
