Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,var_collapse,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,var_collapse,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,equiangular_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equiangular_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equiangular_uc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,equiangular_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equiangular_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equiangular_wc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,equinorm_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equinorm_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equinorm_uc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,equinorm_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equinorm_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,equinorm_wc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,CTMmean,,max_equiangular_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,max_equiangular_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,,max_equiangular_uc,2.0,0.0,
