feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
var_collapse,0.4507500158461505,0.13838367008513053,1,1
cdnv_score,0.3731979260651668,0.10427142493257932,5,2
equinorm_wc,0.4097549065304413,0.09171830186286048,4,3
w_etf_diff,0.26016813307176145,0.08324839632044542,9,4
max_equiangular_wc,0.4349616588308486,0.0771427291342633,2,5
wM_etf_diff,0.25649171563318945,0.07643963087546524,10,6
equinorm_uc,0.1565923333012159,0.06867980040827015,13,7
self_duality,0.410715651501361,0.06652997652971253,3,8
equiangular_wc,0.3689408410551511,0.06580289384293161,6,9
bias_collapse,0.2971768498787146,0.06560290432871758,7,10
M_etf_diff,0.26968999801047094,0.06230048148883813,8,11
max_equiangular_uc,0.18778728725742938,0.05754538372929629,12,12
equiangular_uc,0.22901877599293222,0.04233440646148945,11,13
