,var_collapse,cdnv_score,bias_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,w_etf_diff,M_etf_diff,wM_etf_diff
CTM,0.19483795902591405,0.04187589732989947,-0.3102930520591808,0.04582625153246503,-0.3303870230408819,-0.09870869385446683,-0.5359839192466944,0.11488456391598113,-0.42015094721015783,-0.2616544765997451,0.16578445240524045,0.1313961654194556,0.13406111753715097
Energy,-0.07481266344693452,-0.2268992737551491,-0.09663190729207907,-0.18971528777969213,0.4609152159623854,-0.3106691889719729,-0.10405404671449485,-0.21457251461651516,0.48400865225301715,-0.18435124286556567,-0.22614190940406714,-0.2571611551133528,-0.24436617169906397
fDBD,-0.12002529557897906,0.18502337642524935,0.40692495935125966,0.14388903624722724,-0.13052819292150322,0.4093778828264397,0.6400379659611891,0.09968795070053421,-0.06385770504285906,0.446005719465311,0.06035745699882639,0.12576498969389693,0.11030505416191276
