feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
equinorm_wc,0.4266919773074595,0.13880103896439058,1,1
max_equiangular_wc,0.3226724348353447,0.13302177122811829,2,2
equiangular_wc,0.3072768106415902,0.11793713610063206,3,3
equinorm_uc,0.2729185885509598,0.11717305738655431,5,4
bias_collapse,0.2712833062341731,0.11610995305620785,6,5
self_duality,0.29733714631020725,0.09728298466337909,4,6
wM_etf_diff,0.16291078113270924,0.06286113176616759,8,7
cdnv_score,0.15126618250343263,0.049153719823323,9,8
w_etf_diff,0.15076127293604466,0.04518291654606458,10,9
var_collapse,0.12989197268394254,0.04051944869008111,12,10
M_etf_diff,0.17144077007556846,0.033923872479139396,7,11
equiangular_uc,0.12647685851979482,0.028397613253153636,13,12
max_equiangular_uc,0.14304834307767683,0.019635356042788665,11,13
