,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-1.8417375281305504,1.6054034939629283,-1.0080073288683549,1.5814797991490015,-0.5582025440630656,1.216415034626079,-1.091370734941429,-2.4595659624836066
Energy,2.8887475068918205,-1.03775007012624,0.536274950153677,-1.870521260839884,-1.1019443197997472,-0.7386793346848523,0.520330250891592,0.7801403014269068
MLS,1.8417375281305504,-1.605403493962928,1.008007328868355,-1.5814797991490013,0.5582025440630658,-1.2164150346260794,1.0913707349414292,2.459565962483606
NNGuide,-0.17232591298169905,-1.0782413002212068,1.5977667477499502,-1.8967124480322919,1.8296513167833162,-0.8095571590479977,2.155270486601499,0.2965829349722843
NeCo,0.4912703967389328,-0.876452375556264,-0.6835616896966134,0.0658258561463305,0.2690371310741405,-0.6988010873950723,-0.9574623414103495,4.414538161800642
PCE,-1.5037873488187783,-0.06042426369351674,0.24093694709516156,0.5928520029422609,2.0137464583952447,-0.07357240795746965,0.3353803373230092,1.721160757009486
PE,-1.5037873488187783,-0.06042426369351674,0.24093694709516156,0.5928520029422609,2.0137464583952447,-0.07357240795746965,0.3353803373230092,1.721160757009486
fDBD,-1.5037873488187783,-0.06042426369351674,0.24093694709516156,0.5928520029422609,2.0137464583952447,-0.07357240795746965,0.3353803373230092,1.721160757009486
