method,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,dropout
CTM,-0.03958202766821027,-0.03266850468833982,-0.04858718286279976,-0.017191940868260414,-0.009111474111731906,-0.03132218279142894,-0.06326849735819402,-0.04370911320821959,-0.00029121929995797134
CTMmean,-0.06019423258630042,-0.0009316506642432905,-0.02293753544755436,-0.035540540474446485,-0.0029906728613115496,-0.016662670083273618,-0.025645487408739506,-0.018128465916023465,0.0012991125847499796
Energy,-0.030015356725051047,-0.019857447325430773,-0.016920107800822266,-0.04858536631794774,-0.06017067332170411,-0.014444818904373888,-0.026674851797820795,-0.07230872759719076,4.87783617696616e-05
KPCA RecError global,-0.06019423258630042,-0.0009316506642432905,-0.02293753544755436,-0.035540540474446485,-0.0029906728613115496,-0.016662670083273618,-0.025645487408739506,-0.018128465916023465,0.0012991125847499796
MLS,-0.030015356725051047,-0.019857447325430773,-0.016920107800822266,-0.04858536631794774,-0.06017067332170411,-0.014444818904373888,-0.026674851797820795,-0.07230872759719076,4.87783617696616e-05
NNGuide,-0.030015356725051047,-0.019857447325430773,-0.016920107800822266,-0.04858536631794774,-0.06017067332170411,-0.014444818904373888,-0.026674851797820795,-0.07230872759719076,4.87783617696616e-05
fDBD,0.008538908262354096,0.014527006902959107,0.008858773730116183,-0.002975594953929738,0.005817284478171228,0.013265287536417463,-0.000864491739355121,0.027317722320954037,-0.002699182251973063
