feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
w_etf_diff,0.15887364254583222,0.09579093038816154,12,1
equinorm_wc,0.3202963929180275,0.08934002626148675,1,2
max_equiangular_uc,0.27581014373112833,0.08825272855014882,3,3
bias_collapse,0.20944126323979537,0.08469252285733024,6,4
var_collapse,0.18209560351710047,0.07840431289161727,7,5
max_equiangular_wc,0.15631637298597761,0.0783476715453059,13,6
self_duality,0.29080288773438073,0.07755039684059016,2,7
wM_etf_diff,0.16313447470530745,0.07728550677124267,11,8
equinorm_uc,0.22774350449663788,0.0767063537946836,5,9
M_etf_diff,0.16335163621613047,0.07518637736268136,10,10
cdnv_score,0.1781371944658396,0.06425399364950617,8,11
equiangular_wc,0.17177041341419705,0.058233365661155036,9,12
equiangular_uc,0.26125968936820543,0.0559558134260906,4,13
