<<<<<<< HEAD
,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-0.676341955694785,-0.38270769439216173,-0.56583936130514,-0.21233678596068367,-0.01907855791672751,-0.4987373523906161,-0.5908585809674205,-0.25954662735451484
Energy,0.21093880387939395,0.06835788615110686,-0.2040674247729188,0.10105176021253984,0.06035434959013543,-0.008373223853914267,-0.26908925329873146,0.6054124402872578
NNGuide,0.3975385982048212,0.049198224307205086,0.4137328485432454,-0.12294090586525855,-0.23992322794241183,0.212812462112983,0.49047793016264013,-0.41209407299496886
NeCo,0.06786455361056959,0.2651515839338497,0.35617393753481347,0.2342259316134024,0.1986474362690039,0.29429811413154755,0.3694699041035118,0.06622826006222544
=======
,var_collapse,cdnv_score,bias_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,w_etf_diff,M_etf_diff,wM_etf_diff
CTM,-0.6003541323494128,0.33496212431932,-0.13463828633694197,-0.31875983139299124,-0.40826660573445034,-0.2727386420790307,-0.12589388886796238,-0.38685708160407156,-0.39249000428263625,-0.46390140741399166,0.39714573640650186,0.3460734263516326,0.3480042713315777
CTM class,-0.7629677103639985,0.42415184406376505,-0.18771454864085038,-0.29712300291957155,-0.2593502026356911,-0.18081005618254425,-0.0650438471826417,-0.3643818095163893,-0.24979093027133872,-0.5589150309065435,0.5660327665809097,0.4569343556199803,0.48094946431236796
CTM class avg,0.2498994090767932,0.03241591667946471,0.27184988863645115,0.08813729437582365,-0.30694594982269163,0.09735751546240276,0.08780725948870342,0.03086666581197133,-0.33423129060032747,0.47770631943715747,-0.18904419113986454,-0.04032066758796257,-0.09019192122011148
CTM global,-0.6003541323494128,0.33496212431932,-0.13463828633694197,-0.31875983139299124,-0.40826660573445034,-0.2727386420790307,-0.12589388886796238,-0.38685708160407156,-0.39249000428263625,-0.46390140741399166,0.39714573640650186,0.3460734263516326,0.3480042713315777
Energy,0.558700835128134,-0.2669173239470993,0.09572557907719129,0.2431931284235731,0.09920471828141006,-0.04055124450073741,-0.10846540473593932,0.23658751227120495,0.07383262799240135,0.20996309351524267,-0.3088329867134793,-0.24071681898862954,-0.25167501229526484
Energy class pred,0.2566451741633959,-0.17233352800944807,-0.13690717553565077,-0.16043493061206107,-0.4338899251950158,-0.17603050749123988,-0.2568433353993937,-0.19748464919553177,-0.45103393093099464,0.15059475405724404,-0.2914268344777422,-0.18706106280908974,-0.22214029133323399
Energy global,0.4278031161089756,-0.2287789318895199,-0.16125098711290342,0.33902321972503924,0.15653117090171328,-0.0873666238124491,0.008936131679009382,0.4186341454987536,0.17627049938742834,0.01880088218683087,-0.23438762107912847,-0.16204717972034843,-0.18810557759468546
NNGuide,0.1259896212239923,-0.32949138707160114,-0.27105354193986964,-0.03859191185345974,0.47116325761825933,0.0942981993365024,-0.12888650844597052,0.05356021945527846,0.519232030268481,-0.1908931456235637,-0.18027256428883345,-0.2850248629850801,-0.2421300616313381
NNGuide global,0.2162047860149713,-0.37673400149571534,-0.34217801060388586,0.09351707478378939,0.5264645886085516,0.11226616460125115,-0.18292076538461902,0.188646645339405,0.5804279964292897,-0.2820478157995944,-0.21320160021704251,-0.30698476976469447,-0.27446533358719705
NeCo,0.21678442838165615,-0.14998054849708664,0.13000401427878042,0.22113976602401939,0.4687273145259576,0.02048338870800754,0.11662564904410841,0.3278144083228845,0.47954173515548176,0.040602820186845696,-0.07503200206451867,-0.12866225213267465,-0.09690020137551472
PCA RecError class,0.23175120139595487,-0.022149607347398192,0.40669819462611206,-0.05834559185518306,-0.3584715040456443,0.04225930256312125,0.1725834508171195,-0.12584022985486204,-0.42994022175664337,0.5762456801068668,-0.2699982850066922,-0.1388910191957191,-0.17899198159948584
PCA RecError class pred,0.23175120139595487,-0.022149607347398192,0.40669819462611206,-0.05834559185518306,-0.3584715040456443,0.04225930256312125,0.1725834508171195,-0.12584022985486204,-0.42994022175664337,0.5762456801068668,-0.2699982850066922,-0.1388910191957191,-0.17899198159948584
fDBD,0.03192821789328258,0.1715863762112013,0.22796086885724992,0.23666142871785523,0.13192051209961683,0.3446567676217141,0.27848509129608895,0.20316262601447557,0.1191884213595742,0.29924763294069223,0.09977842348312145,0.14060020210599453,0.13094615734714268
fDBD class pred,0.03192821789328258,0.1715863762112013,0.22796086885724992,0.23666142871785523,0.13192051209961683,0.3446567676217141,0.27848509129608895,0.20316262601447557,0.1191884213595742,0.29924763294069223,0.09977842348312145,0.14060020210599453,0.13094615734714268
>>>>>>> e9edc33 (refactor: update multinomial analysis pipeline to include new ETF-based features and expanded target classes)
