method,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-0.030241903745792505,-0.02082737949326449,-0.04715340554220669,-0.02102373660974253,-0.05756038019256515,-0.02041062389796116,-0.02660653513185669,-0.02155103538661086
CTMmean,-0.003037898538355831,-0.00019423517445952312,-0.000230602954944659,0.00014759394071956616,-0.0030958661273631765,0.0039031012030279083,-0.0028051443465450187,0.008813051997920759
CTMmeanOC,-0.003037898538355831,-0.00019423517445952312,-0.000230602954944659,0.00014759394071956616,-0.0030958661273631765,0.0039031012030279083,-0.0028051443465450187,0.008813051997920759
Energy,-0.026155855185451167,-0.03048941884705255,-0.015569973482136202,-0.019156798251423544,-0.010503181571631895,-0.039702223437573105,-0.04449667586445986,-0.06655087336027161
KPCA RecError global,-0.003037898538355831,-0.00019423517445952312,-0.000230602954944659,0.00014759394071956616,-0.0030958661273631765,0.0039031012030279083,-0.0028051443465450187,0.008813051997920759
MLS,-0.026155855185451167,-0.03048941884705255,-0.015569973482136202,-0.019156798251423544,-0.010503181571631895,-0.039702223437573105,-0.04449667586445986,-0.06655087336027161
NNGuide,-0.026155855185451167,-0.03048941884705255,-0.015569973482136202,-0.019156798251423544,-0.010503181571631895,-0.039702223437573105,-0.04449667586445986,-0.06655087336027161
NeCo,-0.026155855185451167,-0.03048941884705255,-0.015569973482136202,-0.019156798251423544,-0.010503181571631895,-0.039702223437573105,-0.04449667586445986,-0.06655087336027161
ViM,-0.05213337868684971,-0.02085251540377912,-0.05925221281843317,-0.020879622524255282,-0.015503006392040011,-0.022866610904272423,-0.04434865497107006,-0.020663998299300223
fDBD,-0.012943083124427787,-0.018181682236059926,-0.025996071301626185,-0.017142828094883718,-0.09330182607035403,-0.016451420816161254,-0.015964033291933778,-0.050269055064553356
