feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
var_collapse,0.6215092862454263,0.16356099348733918,1,1
self_duality,0.42313681664529207,0.14741673654601833,3,2
equiangular_wc,0.291405080680207,0.14607403329850616,7,3
equiangular_uc,0.31731325669331534,0.12596814383297492,5,4
max_equiangular_uc,0.3128362809482863,0.12368606112386629,6,5
max_equiangular_wc,0.2640400432113999,0.11733353852150186,8,6
equinorm_wc,0.33956120219085917,0.09037718785566846,4,7
equinorm_uc,0.4233203542407798,0.08558330533412489,2,8
