feature,rf_gini_importance,rf_rank
equinorm_uc,0.2943018833713312,1
var_collapse,0.28761709692925846,2
max_equiangular_wc,0.15137159390321275,3
self_duality,0.1438934144522023,4
equiangular_uc,0.05566196698039354,5
equinorm_wc,0.02569960226879722,6
max_equiangular_uc,0.025512518607034233,7
equiangular_wc,0.015055615293498291,8
dropout,0.0008863081942720983,9
