method,feature,mean_abs_shap,mean_shap
CTM,var_collapse,0.08250000000000003,-0.04125000000000002
CTM,equiangular_uc,0.07500000000000001,-0.03750000000000001
CTM,equiangular_wc,0.09613194444444449,-0.04826578282828285
CTM,equinorm_uc,0.005646792443667443,-0.001019874222999222
CTM,equinorm_wc,0.004973958333333332,-0.0023593750000000012
CTM,max_equiangular_uc,0.0941666666666667,-0.04739583333333337
CTM,max_equiangular_wc,0.05925000000000004,-0.02925000000000001
CTM,self_duality,0.07999399038461544,-0.04045913461538466
Energy,var_collapse,0.08250000000000002,0.04125000000000001
Energy,equiangular_uc,0.07500000000000002,0.03750000000000002
Energy,equiangular_wc,0.09613194444444449,0.04826578282828285
Energy,equinorm_uc,0.005646792443667444,0.0010198742229992233
Energy,equinorm_wc,0.004973958333333334,0.0023593749999999995
Energy,max_equiangular_uc,0.0941666666666667,0.04739583333333337
Energy,max_equiangular_wc,0.05925000000000004,0.02925000000000001
Energy,self_duality,0.07999399038461542,0.040459134615384654
GE,var_collapse,0.005000000000000003,-0.0030886561355311353
GE,equiangular_uc,0.08083245798319333,-0.0410544467787115
GE,equiangular_wc,0.09125000000000003,-0.04500000000000002
GE,equinorm_uc,0.06664583333333332,-0.03371600877192983
GE,equinorm_wc,0.08000000000000004,-0.04000000000000002
GE,max_equiangular_uc,0.08750000000000008,-0.04375000000000001
GE,max_equiangular_wc,0.006857509122069882,-0.000890888313827554
GE,self_duality,0.08250000000000003,-0.041250000000000016
GradNorm,var_collapse,0.039740636242305186,-0.015191552674621573
GradNorm,equiangular_uc,0.04087856164464621,-0.019119451875556536
GradNorm,equiangular_wc,0.05935671773079865,-0.02817413576450902
GradNorm,equinorm_uc,0.11445946631493513,-0.06397718262693837
GradNorm,equinorm_wc,0.12516851224755643,-0.06707203592009128
GradNorm,max_equiangular_uc,0.04984956350328594,-0.023996932391422632
GradNorm,max_equiangular_wc,0.035486007099518116,-0.018526346378729148
GradNorm,self_duality,0.04110190874978995,-0.014942362368131517
MLS,var_collapse,0.011269051414272004,0.002609782986621221
MLS,equiangular_uc,0.10059776334776341,-0.0007642496392496368
MLS,equiangular_wc,0.11522420634920642,0.0002857142857142933
MLS,equinorm_uc,0.07000000000000003,4.163336342344337e-18
MLS,equinorm_wc,0.011287608225108225,-0.00048439754689754707
MLS,max_equiangular_uc,0.1037767857142858,0.0011904761904761954
MLS,max_equiangular_wc,0.078333400974026,3.997564935065839e-05
MLS,self_duality,0.009475859618322854,-0.0016273019260151622
NNGuide,var_collapse,0.011269051414272004,0.002609782986621221
NNGuide,equiangular_uc,0.10059776334776341,-0.0007642496392496368
NNGuide,equiangular_wc,0.11522420634920642,0.0002857142857142933
NNGuide,equinorm_uc,0.07000000000000003,4.163336342344337e-18
NNGuide,equinorm_wc,0.011287608225108225,-0.00048439754689754707
NNGuide,max_equiangular_uc,0.1037767857142858,0.0011904761904761954
NNGuide,max_equiangular_wc,0.078333400974026,3.997564935065839e-05
NNGuide,self_duality,0.009475859618322854,-0.0016273019260151622
NeCo,var_collapse,0.011269051414272004,0.002609782986621221
NeCo,equiangular_uc,0.10059776334776341,-0.0007642496392496368
NeCo,equiangular_wc,0.11522420634920642,0.0002857142857142933
NeCo,equinorm_uc,0.07000000000000003,4.163336342344337e-18
NeCo,equinorm_wc,0.011287608225108225,-0.00048439754689754707
NeCo,max_equiangular_uc,0.1037767857142858,0.0011904761904761954
NeCo,max_equiangular_wc,0.078333400974026,3.997564935065839e-05
NeCo,self_duality,0.009475859618322854,-0.0016273019260151622
