feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
var_collapse,0.4260130977421987,0.10862336547335393,2,1
self_duality,0.30427878307862316,0.08716914479032101,5,2
max_equiangular_uc,0.2928220178793465,0.08514319109350948,6,3
equiangular_uc,0.257015306541832,0.08474831646034402,7,4
w_etf_diff,0.226938331086348,0.078896196260798,9,5
M_etf_diff,0.1879495769581581,0.07684323560407087,11,6
wM_etf_diff,0.2037064964749912,0.07499395194243336,10,7
bias_collapse,0.1421018658818595,0.07183902573516708,13,8
cdnv_score,0.17803587399799894,0.0716383674952175,12,9
max_equiangular_wc,0.31472781871880173,0.06806203765708249,4,10
equiangular_wc,0.3189061360737912,0.06786048787440385,3,11
equinorm_uc,0.24949672671549242,0.06455053037027415,8,12
equinorm_wc,0.44802822508622164,0.05963214924302426,1,13
