method,feature,mean_abs_shap,mean_shap
CTM,var_collapse,0.055074601753796734,-0.03126416521696271
CTM,equiangular_uc,0.034344329589135206,-0.017658643319465206
CTM,equiangular_wc,0.09800509964205989,-0.04367622187805958
CTM,equinorm_uc,0.041077202723631,-0.01741341329375506
CTM,equinorm_wc,0.14408000278315572,-0.07678485499421989
CTM,max_equiangular_uc,0.0347863606458107,-0.015199494878117462
CTM,max_equiangular_wc,0.05247968823624708,-0.023817222706242015
CTM,self_duality,0.04789765991442076,-0.018714648812148436
CTM,dropout,0.0019024065068213175,-0.00047133490102965026
CTMmean,var_collapse,0.13222902017741373,-0.07184900802149848
CTMmean,equiangular_uc,0.031854778742023936,-0.013078416946489372
CTMmean,equiangular_wc,0.10842725882211894,-0.05543641653855543
CTMmean,equinorm_uc,0.03523649587166243,-0.02093826820675608
CTMmean,equinorm_wc,0.026434131878850076,-0.01574880349272536
CTMmean,max_equiangular_uc,0.03634690378414156,-0.014843341676444197
CTMmean,max_equiangular_wc,0.08875348372208067,-0.04196957282196993
CTMmean,self_duality,0.03815417156239118,-0.017746222444868818
CTMmean,dropout,0.0013897868063862766,-0.0003899498506923428
Energy,var_collapse,0.04940836463575237,-0.024488227447641727
Energy,equiangular_uc,0.059966376659677315,-0.029573155721093904
Energy,equiangular_wc,0.03900615668980119,-0.017063843893890377
Energy,equinorm_uc,0.060728342643340795,-0.03276501246522139
Energy,equinorm_wc,0.02916495241433637,-0.005814255066776302
Energy,max_equiangular_uc,0.04051305010859478,-0.023618389232000363
Energy,max_equiangular_wc,0.12505790427066008,-0.05322337682818516
Energy,self_duality,0.12668715392181573,-0.06702734623277617
Energy,dropout,0.01066480045381918,-0.0024263931124144903
KPCA RecError global,var_collapse,0.0464421817486464,-0.004108621771158529
KPCA RecError global,equiangular_uc,0.04854112017258542,0.001279760629578223
KPCA RecError global,equiangular_wc,0.04219385219988623,-0.0008791146628030745
KPCA RecError global,equinorm_uc,0.05633570810565412,0.0013748547030951724
KPCA RecError global,equinorm_wc,0.13031466655190121,-0.000767333914266119
KPCA RecError global,max_equiangular_uc,0.05512192638491671,0.004064974804467972
KPCA RecError global,max_equiangular_wc,0.05382498386275116,0.0007683775831415098
KPCA RecError global,self_duality,0.060601890408358505,0.0023113734612782225
KPCA RecError global,dropout,0.0003411458333333334,8.072916666666696e-05
NeCo,var_collapse,0.04940836463575237,-0.024488227447641727
NeCo,equiangular_uc,0.059966376659677315,-0.029573155721093904
NeCo,equiangular_wc,0.03900615668980119,-0.017063843893890377
NeCo,equinorm_uc,0.060728342643340795,-0.03276501246522139
NeCo,equinorm_wc,0.02916495241433637,-0.005814255066776302
NeCo,max_equiangular_uc,0.04051305010859478,-0.023618389232000363
NeCo,max_equiangular_wc,0.12505790427066008,-0.05322337682818516
NeCo,self_duality,0.12668715392181573,-0.06702734623277617
NeCo,dropout,0.01066480045381918,-0.0024263931124144903
ViM,var_collapse,0.13222902017741373,-0.07184900802149848
ViM,equiangular_uc,0.031854778742023936,-0.013078416946489372
ViM,equiangular_wc,0.10842725882211894,-0.05543641653855543
ViM,equinorm_uc,0.03523649587166243,-0.02093826820675608
ViM,equinorm_wc,0.026434131878850076,-0.01574880349272536
ViM,max_equiangular_uc,0.03634690378414156,-0.014843341676444197
ViM,max_equiangular_wc,0.08875348372208067,-0.04196957282196993
ViM,self_duality,0.03815417156239118,-0.017746222444868818
ViM,dropout,0.0013897868063862766,-0.0003899498506923428
fDBD,var_collapse,0.0348801013373317,-0.013717304299362482
fDBD,equiangular_uc,0.029989941338103666,-0.014842034788402866
fDBD,equiangular_wc,0.027057770819062226,-0.013818732639864531
fDBD,equinorm_uc,0.020936482111577975,-0.008012876169433579
fDBD,equinorm_wc,0.23246581292325558,-0.1293099485074616
fDBD,max_equiangular_uc,0.018967286042228058,-0.007709814390582404
fDBD,max_equiangular_wc,0.025707868761121983,-0.014370808328591667
fDBD,self_duality,0.12201280718119485,-0.04751223680378844
fDBD,dropout,0.0019250569181635357,-8.124407251245506e-05
