Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GE,,self_duality,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GE,,self_duality,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,var_collapse,,,,
,20,1.0,15,5,0.25,,0.0,0.0,GradNorm,var_collapse,,,,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,equiangular_uc,,,,
,20,1.0,15,5,0.25,,0.0,0.0,GradNorm,equiangular_uc,,,,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,equiangular_wc,,,,
,20,1.0,15,5,0.25,,0.0,0.0,GradNorm,equiangular_wc,,,,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,equinorm_uc,,,,
,20,1.0,15,5,0.25,,0.0,0.0,GradNorm,equinorm_uc,,,,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,equinorm_wc,,,,
,20,1.0,15,5,0.25,,0.0,0.0,GradNorm,equinorm_wc,,,,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,max_equiangular_uc,,,,
,20,1.0,15,5,0.25,,0.0,0.0,GradNorm,max_equiangular_uc,,,,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,max_equiangular_wc,,,,
