feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
self_duality,0.30239609645457804,0.11218813792781257,4,1
w_etf_diff,0.294184748156324,0.11040295404275416,5,2
cdnv_score,0.22528417942181778,0.10717770677490983,9,3
var_collapse,0.30288641237338293,0.09989945323872228,3,4
M_etf_diff,0.27801598073400835,0.09227016201844927,7,5
wM_etf_diff,0.2828708791607609,0.08624862667420409,6,6
equinorm_wc,0.47292843758607317,0.0805470184388939,1,7
bias_collapse,0.21982737980321432,0.07945204948120786,10,8
equinorm_uc,0.10085363825929329,0.07263870805566333,12,9
max_equiangular_wc,0.35459683171698403,0.04220153264024853,2,10
max_equiangular_uc,0.09661617007270097,0.040906141745052686,13,11
equiangular_wc,0.25183818080003284,0.03822354492501197,8,12
equiangular_uc,0.12541638462514748,0.037843964037069536,11,13
