method,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,dropout
CTM,0.00718440820907768,-0.00496243281625248,0.003001958639882616,-0.0037856999784752834,-0.002400138767016775,-0.0024507038800948484,0.0036134314386466458,-0.000837238891687684,0.00038641604592016084
Energy,-0.007184408209077617,0.004962432816252447,-0.003001958639882622,0.0037856999784753,0.0024001387670167674,0.002450703880094844,-0.003613431438646652,0.0008372388916876881,-0.00038641604592015873
GE,-0.07184900802149848,-0.013078416946489372,-0.05543641653855543,-0.02093826820675608,-0.01574880349272536,-0.014843341676444197,-0.04196957282196993,-0.017746222444868818,-0.0003899498506923428
MLS,-0.07184900802149848,-0.013078416946489372,-0.05543641653855543,-0.02093826820675608,-0.01574880349272536,-0.014843341676444197,-0.04196957282196993,-0.017746222444868818,-0.0003899498506923428
MSR,-0.013717304299362482,-0.014842034788402866,-0.013818732639864531,-0.008012876169433579,-0.1293099485074616,-0.007709814390582404,-0.014370808328591667,-0.04751223680378844,-8.124407251245506e-05
NNGuide,-0.013717304299362482,-0.014842034788402866,-0.013818732639864531,-0.008012876169433579,-0.1293099485074616,-0.007709814390582404,-0.014370808328591667,-0.04751223680378844,-8.124407251245506e-05
NeCo,-0.007184408209077617,0.004962432816252447,-0.003001958639882622,0.0037856999784753,0.0024001387670167674,0.002450703880094844,-0.003613431438646652,0.0008372388916876881,-0.00038641604592015873
PCE,-0.013717304299362482,-0.014842034788402866,-0.013818732639864531,-0.008012876169433579,-0.1293099485074616,-0.007709814390582404,-0.014370808328591667,-0.04751223680378844,-8.124407251245506e-05
PE,0.0007178200221307229,0.0009263645700101416,-0.0004956820420276224,-0.003576500912756607,-0.0027414769186511283,0.0013016537778182686,-0.0020665892724821915,0.001354111049808841,-4.4700273850354146e-05
fDBD,-0.013717304299362482,-0.014842034788402866,-0.013818732639864531,-0.008012876169433579,-0.1293099485074616,-0.007709814390582404,-0.014370808328591667,-0.04751223680378844,-8.124407251245506e-05
