feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
equinorm_wc,0.3680806598029246,0.12670898044686707,1,1
max_equiangular_wc,0.22051951314587762,0.11022771639353632,7,2
wM_etf_diff,0.2257496839725782,0.09956905796372753,3,3
self_duality,0.19644367581253674,0.07420624004769778,11,4
cdnv_score,0.20247934730580514,0.07410395812938288,8,5
equiangular_wc,0.15370738491867936,0.07076433228280887,13,6
M_etf_diff,0.22376864251824027,0.07025705396870731,5,7
max_equiangular_uc,0.19675770671312387,0.06983706383523887,10,8
w_etf_diff,0.22243542600837984,0.0647425666910434,6,9
var_collapse,0.22483972169062594,0.06442351862172545,4,10
equiangular_uc,0.20143327014590903,0.06329464413464421,9,11
bias_collapse,0.16675464216278316,0.059135884249855296,12,12
equinorm_uc,0.3424788710763605,0.052728983234765193,2,13
