<<<<<<< HEAD
,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,0.3303368642392521,-0.26367386454726627,-0.45189768425441784,-0.290425291821426,-0.35466343354129704,-0.28752993402226174,-0.48612566884114805,0.2697562853458846
CTMmean,-0.642217997820977,-0.3169930540778225,-0.45979728495159444,-0.14772203472441967,0.04411101987665671,-0.42164057274411487,-0.48091590458479294,-0.22774805470182935
Energy,-0.007112971243888253,0.4001825734609865,0.4213418090117819,0.40616739811329494,0.385019338287567,0.3931622483450918,0.4168277621923304,0.23368452190995306
NNGuide,0.3189941048256135,0.18048434516410183,0.4903531601942302,0.03197992843255054,-0.07446692462292669,0.31600825842128455,0.5502138112336102,-0.2756927525540079
=======
,var_collapse,cdnv_score,bias_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,w_etf_diff,M_etf_diff,wM_etf_diff
CTM,0.19657056039251072,-0.16785624324422407,-0.03996312040295975,-0.2448479957709755,-0.46120302420186204,-0.2991079097407893,-0.1497644327263901,-0.234111587701302,-0.47103284780388577,0.09420822376396906,-0.32201800551257753,-0.2297655785972274,-0.2720176747858453
CTM class avg,0.34801896658118897,-0.014833474650905506,0.26861370523501277,0.129261479924383,-0.49636494917921,0.05099082228863564,0.1447890231075932,0.0395383263122536,-0.5197706396186723,0.5384236727871404,-0.2949902872063606,-0.06431405550110571,-0.14457612237809067
CTM global,-0.08139370494029956,-0.017128993899012783,-0.18714053069976308,-0.20524889493765275,-0.5989963873834557,-0.2192727780784931,-0.06730172255164185,-0.24263521698635074,-0.6008232040012405,-0.05161206426779065,-0.09856444218095109,0.008598119852043064,-0.04300248001687506
CTMmean,-0.4999555755893956,0.3282566680053047,-0.08443218151077807,-0.19426769176741046,-0.1891390012197637,-0.18751329356807223,-0.05350232341414645,-0.23958489176351222,-0.18417811558187436,-0.3782273469501366,0.38033810094625853,0.3120186267781986,0.3256176864497677
CTMmean class avg,-0.7629677103639985,0.42415184406376505,-0.18771454864085038,-0.29712300291957155,-0.2593502026356911,-0.18081005618254425,-0.0650438471826417,-0.3643818095163893,-0.24979093027133872,-0.5589150309065435,0.5660327665809097,0.4569343556199803,0.48094946431236796
CTMmean global,-0.7629677103639985,0.42415184406376505,-0.18771454864085038,-0.29712300291957155,-0.2593502026356911,-0.18081005618254425,-0.0650438471826417,-0.3643818095163893,-0.24979093027133872,-0.5589150309065435,0.5660327665809097,0.4569343556199803,0.48094946431236796
Energy,0.26390114940838516,-0.20500551595931518,0.10749386951127868,0.06022751621115203,0.3285554771041213,-0.024285856758692572,-0.04525754472552819,0.17206328452977301,0.33341648252669503,0.2846234345217669,-0.15954743113506317,-0.19112079953869604,-0.16444910752212874
Energy class pred,0.1968082207839858,-0.31808258516381355,-0.1873688748039107,-0.09059327402751698,0.19142127146901133,-0.10613167842233899,-0.24689922641503986,0.05640601240215426,0.20143109035455373,-0.02752916610672973,-0.2478750491357354,-0.2958403476295609,-0.2685247679335144
Energy global,0.2491831798501783,-0.18860786918713185,0.03671231401822801,0.198862779981605,0.45515876092806823,-0.03263470508694917,0.04848030913849437,0.3140150742171434,0.47657305625387353,-0.028705302976486196,-0.09571164054626222,-0.15311424313137392,-0.12263006333642242
NNGuide,0.30813458426932777,-0.3026500779958179,-0.24558075092472392,0.1669035678383402,0.3894104309944936,0.056958716387091504,-0.16158929850990678,0.22110620163229217,0.4189015588265492,-0.2692448023181228,-0.19815550190407177,-0.2502593291645851,-0.2337177133045004
NNGuide class pred,0.30813458426932777,-0.3026500779958179,-0.24558075092472392,0.1669035678383402,0.3894104309944936,0.056958716387091504,-0.16158929850990678,0.22110620163229217,0.4189015588265492,-0.2692448023181228,-0.19815550190407177,-0.2502593291645851,-0.2337177133045004
NNGuide global,0.22938753470648407,-0.3122972917228027,-0.15754572463649863,0.14334235622761535,0.6797767840844433,0.16096876659210005,-0.0689387022652247,0.21163495593974116,0.7422436513893255,-0.14933552575499884,-0.1358096669374767,-0.25354261049641363,-0.2088125967955259
PCA RecError class,0.23339921083822063,0.07102695823828824,0.4292057799651106,0.12335953116668764,-0.2195286083249866,0.19930793348298906,0.20867441607345755,0.03166983990639272,-0.2829813235716121,0.6465303208836088,-0.15565916486142425,-0.018525492918313183,-0.0552264940595516
PCA RecError class pred,0.23339921083822063,0.07102695823828824,0.4292057799651106,0.12335953116668764,-0.2195286083249866,0.19930793348298906,0.20867441607345755,0.03166983990639272,-0.2829813235716121,0.6465303208836088,-0.15565916486142425,-0.018525492918313183,-0.0552264940595516
pNML class pred,0.3435968536504067,-0.008157672376065832,0.34659661987152246,0.07686546093498843,-0.5302252598757593,0.1611585720831696,0.23911219067919304,-0.028242321231823523,-0.6065506922233957,0.7510653959390715,-0.3490267097205117,-0.1180470367572561,-0.19238236885619783
>>>>>>> e9edc33 (refactor: update multinomial analysis pipeline to include new ETF-based features and expanded target classes)
