,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-2.1864259943519535,0.8454418743152327,-0.2928864750514687,1.0189665863615471,0.8421584584224414,0.6131610806655114,-0.3551440159709365,-0.11229933504650408
Energy,2.186425994351954,-0.8454418743152328,0.29288647505146864,-1.0189665863615471,-0.8421584584224415,-0.6131610806655117,0.3551440159709364,0.11229933504650429
GE,1.573652804751505,0.069516970162296,-0.5945557597393316,-0.6792305891973666,-1.1133722088512363,0.11745182309835837,-0.8717733673422722,1.5653531343849207
MLS,1.573652804751505,0.069516970162296,-0.5945557597393316,-0.6792305891973666,-1.1133722088512363,0.11745182309835837,-0.8717733673422722,1.5653531343849207
MSR,-1.0077040153410581,-0.017556310454923507,0.08884638951132304,0.3636662800818848,1.669096199526645,-0.02930964565464089,0.12115776430327535,1.0690109475341396
NNGuide,-1.0077040153410581,-0.017556310454923507,0.08884638951132304,0.3636662800818848,1.669096199526645,-0.02930964565464089,0.12115776430327535,1.0690109475341396
NeCo,2.186425994351954,-0.8454418743152328,0.29288647505146864,-1.0189665863615471,-0.8421584584224415,-0.6131610806655117,0.3551440159709364,0.11229933504650429
PCE,-1.0077040153410581,-0.017556310454923507,0.08884638951132304,0.3636662800818848,1.669096199526645,-0.02930964565464089,0.12115776430327535,1.0690109475341396
PE,0.34292095968997016,-0.27603190495725544,-0.35624016887787546,-0.5363205918573566,0.3193258491490597,-0.1656304899868317,-0.5750279869608519,2.7799931194422225
fDBD,-1.0077040153410581,-0.017556310454923507,0.08884638951132304,0.3636662800818848,1.669096199526645,-0.02930964565464089,0.12115776430327535,1.0690109475341396
