feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
equinorm_uc,0.22672119693750692,0.12324480670454992,4,1
equiangular_wc,0.2615573012040509,0.11856075976155073,2,2
equinorm_wc,0.132639669436386,0.107092760459301,11,3
cdnv_score,0.1599231379189735,0.09672683789606318,9,4
self_duality,0.23526549905399788,0.09620882933736079,3,5
bias_collapse,0.2094131357108816,0.08429540578917685,5,6
max_equiangular_uc,0.1878731668053842,0.07095165191182348,6,7
max_equiangular_wc,0.2638453450891801,0.06933200762554578,1,8
wM_etf_diff,0.1175542776852809,0.06167322873119826,12,9
M_etf_diff,0.13533550209439832,0.056050214456712266,10,10
var_collapse,0.18710686333004728,0.050542645216258626,7,11
equiangular_uc,0.16135168994212834,0.0452904182381673,8,12
w_etf_diff,0.09747856545861305,0.02003043387229183,13,13
