feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
equinorm_wc,1.2165692439891567,0.21500289554852614,2,1
self_duality,1.5836838185576085,0.18514964358466773,1,2
equinorm_uc,0.8307095244463565,0.17129091329728469,3,3
var_collapse,0.4816983546324366,0.159252433106306,6,4
equiangular_uc,0.17530942544828837,0.08203513783310687,8,5
equiangular_wc,0.5306097425881615,0.07090691718707948,5,6
max_equiangular_uc,0.2737501466954324,0.05997984938231452,7,7
max_equiangular_wc,0.6132722107881468,0.05638221006071459,4,8
