,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-0.3717201907253805,-0.5353962142970897,-0.7838592654933444,-0.4025465614865878,-0.2730351161461033,-0.643189031236345,-0.824978618268555,-0.11409857765897556
Energy,0.3717201907253803,0.5353962142970898,0.7838592654933443,0.402546561486588,0.27303511614610343,0.643189031236345,0.824978618268555,0.1140985776589758
MLS,-0.34361373252810035,0.5100328082842623,0.19732867064949058,0.6580212290229404,0.7334327736550201,0.3607859890043021,0.1200283647652486,0.7304474950098141
NNGuide,0.8857619663386782,0.06203664379991059,0.8016697094924516,-0.29657402507642266,-0.5524081154541621,0.395658840581163,0.9578001631646123,-0.8155159352740717
NeCo,0.3717201907253803,0.5353962142970898,0.7838592654933443,0.402546561486588,0.27303511614610343,0.643189031236345,0.824978618268555,0.1140985776589758
fDBD,-0.34361373252810035,0.5100328082842623,0.19732867064949058,0.6580212290229404,0.7334327736550201,0.3607859890043021,0.1200283647652486,0.7304474950098141
