feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
max_equiangular_uc,0.4722875942189071,0.19641606441496945,5,1
equiangular_wc,0.5004455194305563,0.17698359892858231,4,2
equiangular_uc,0.4247270266614939,0.16662573186906973,7,3
var_collapse,0.8133745861081024,0.11327930686540434,1,4
max_equiangular_wc,0.5067112907980074,0.11306536451820856,2,5
self_duality,0.5059358375253421,0.09872939859069,3,6
equinorm_uc,0.34189188555116806,0.07884533186504551,8,7
equinorm_wc,0.4420463982122164,0.05605520294803016,6,8
