feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
wM_etf_diff,0.19523442338066047,0.12851305954953934,6,1
w_etf_diff,0.20455543737571896,0.11704212547260771,5,2
M_etf_diff,0.1908730470090506,0.11277024076528404,7,3
var_collapse,0.24642555434501803,0.11055885924659556,3,4
cdnv_score,0.16961195033421966,0.08296431121980095,9,5
equinorm_wc,0.41454885607444425,0.07232449683740912,1,6
max_equiangular_wc,0.15812341995150275,0.0647416874103862,13,7
self_duality,0.24654441461701956,0.060716339994973036,2,8
equinorm_uc,0.18928443965649458,0.06058126295800094,8,9
bias_collapse,0.16682675480247172,0.06020449522283008,10,10
equiangular_wc,0.1623140126027112,0.05113028361588876,12,11
equiangular_uc,0.2094605825066816,0.04015413617543738,4,12
max_equiangular_uc,0.163308238855421,0.038298701531246884,11,13
