Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"[0.02, inf)",20,0.16666666666666666,5,15,0.75,-1.09861228866811,0.18310204811135164,0.021802005990189496,CTM,,var_collapse,2.0,-2.0137121681893633,-11.023109822846786
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,3.0,-2.0137121681893633,5.004336594917069
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,4.0,-2.0137121681893633,5.004336594917069
"(-inf, 0.15)",80,0.6666666666666666,45,35,0.4375,0.25131442828090594,0.04188573804681767,0.005221982188991288,CTM,,equiangular_uc,0.0,-1.88339664552496,8.433448846960676
"[0.15, inf)",40,0.3333333333333333,15,25,0.625,-0.5108256237659905,0.08513760396099847,0.010527980800654403,CTM,,equiangular_uc,1.0,-1.88339664552496,-1.9657304127592408
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,2.0,-1.88339664552496,5.004336594917069
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,3.0,-1.88339664552496,5.004336594917069
"(-inf, 0.08)",46,0.38333333333333336,24,22,0.4782608695652174,0.0870113769896297,0.002900379232987668,0.00036243307910635743,CTM,,equiangular_wc,0.0,-0.185892334178641,5.121518352881351
"[0.08, 0.11)",31,0.25833333333333336,8,23,0.7419354838709677,-1.056052674249314,0.2640131685623285,0.03154882131773252,CTM,,equiangular_wc,1.0,-0.185892334178641,3.582107535306112
"[0.11, inf)",43,0.35833333333333334,28,15,0.3488372093023256,0.6241543090729939,0.135233433632482,0.016635025755777723,CTM,,equiangular_wc,2.0,-0.185892334178641,5.844910571661191
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_wc,3.0,-0.185892334178641,5.004336594917069
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_wc,4.0,-0.185892334178641,5.004336594917069
"(-inf, inf)",120,1.0,60,60,0.5,0.0,0.0,0.0,CTM,,equinorm_uc,0.0,0.0,5.004336594917069
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_uc,1.0,0.0,5.004336594917069
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_uc,2.0,0.0,5.004336594917069
"(-inf, 0.04)",75,0.625,30,45,0.6,-0.4054651081081643,0.1013662770270411,0.012584695969180548,CTM,,equinorm_wc,0.0,-0.8651828130248505,2.4628732073461737
"[0.04, 0.07)",22,0.18333333333333332,17,5,0.22727272727272727,1.2237754316221157,0.24475508632442314,0.02881767007968352,CTM,,equinorm_wc,1.0,-0.8651828130248505,12.67498541742114
"[0.07, inf)",23,0.19166666666666668,13,10,0.43478260869565216,0.2623642644674912,0.01311821322337456,0.0016350896954061243,CTM,,equinorm_wc,2.0,-0.8651828130248505,6.6488410393616935
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_wc,3.0,-0.8651828130248505,5.004336594917069
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_wc,4.0,-0.8651828130248505,5.004336594917069
"(-inf, 0.06)",20,0.16666666666666666,15,5,0.25,1.0986122886681096,0.18310204811135164,0.021802005990189496,CTM,,max_equiangular_uc,0.0,-1.2790043144177248,15.184129636467183
"[0.06, 0.12)",70,0.5833333333333334,30,40,0.5714285714285714,-0.2876820724517809,0.047947012075296794,0.0059727942513597004,CTM,,max_equiangular_uc,1.0,-1.2790043144177248,2.3386610062398816
"[0.12, inf)",30,0.25,15,15,0.5,0.0,0.0,0.0,CTM,,max_equiangular_uc,2.0,-1.2790043144177248,5.004336594917069
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_uc,3.0,-1.2790043144177248,5.004336594917069
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_uc,4.0,-1.2790043144177248,5.004336594917069
"(-inf, 0.07)",60,0.5,30,30,0.5,0.0,0.0,0.0,CTM,,max_equiangular_wc,0.0,-1.0148678478056685,5.004336594917069
"[0.07, 0.11)",34,0.2833333333333333,10,24,0.7058823529411765,-0.8754687373539003,0.20427603871591005,0.024749076336498393,CTM,,max_equiangular_wc,1.0,-1.0148678478056685,-1.4325020510842323
"[0.11, inf)",26,0.21666666666666667,20,6,0.23076923076923078,1.203972804325936,0.2809269876760517,0.033137658270401604,CTM,,max_equiangular_wc,2.0,-1.0148678478056685,13.85648441580147
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_wc,3.0,-1.0148678478056685,5.004336594917069
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_wc,4.0,-1.0148678478056685,5.004336594917069
"(-inf, 0.07)",48,0.4,20,28,0.5833333333333334,-0.33647223662121306,0.04486296488282841,0.005581565827367789,CTM,,self_duality,0.0,-1.6290153414805377,1.0333639428810355
"[0.07, 0.17)",52,0.43333333333333335,25,27,0.5192307692307693,-0.07696104113612844,0.0025653680378709457,0.0003205918892070017,CTM,,self_duality,1.0,-1.6290153414805377,4.096059012514839
"[0.17, inf)",20,0.16666666666666666,15,5,0.25,1.0986122886681096,0.18310204811135164,0.021802005990189496,CTM,,self_duality,2.0,-1.6290153414805377,17.969921504090344
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,self_duality,3.0,-1.6290153414805377,5.004336594917069
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,self_duality,4.0,-1.6290153414805377,5.004336594917069
"(-inf, 0.01)",39,0.325,24,15,0.38461538461538464,-0.6286086594223745,0.14667535386522063,0.018038392274668975,CTMmean,var_collapse,,,,
"[0.01, 0.01)",22,0.18333333333333332,15,7,0.3181818181818182,-0.33647223662121306,0.022431482441414206,0.0027907829136838945,CTMmean,var_collapse,,,,
"[0.01, inf)",59,0.49166666666666664,51,8,0.13559322033898305,0.75377180237638,0.22613154071291405,0.027615717911466275,CTMmean,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,var_collapse,,,,
,120,1.0,90,30,0.25,,0.3952383770195489,0.04844489309981914,CTMmean,var_collapse,,,,
"(-inf, 0.11)",57,0.475,42,15,0.2631578947368421,-0.06899287148695143,0.00229976238289838,0.0002874132962906728,CTMmean,equiangular_uc,,,,
"[0.11, inf)",63,0.525,48,15,0.23809523809523808,0.06453852113757108,0.002151284037919039,0.0002688638448071143,CTMmean,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,equiangular_uc,,,,
,120,1.0,90,30,0.25,,0.004451046420817419,0.0005562771410977871,CTMmean,equiangular_uc,,,,
"(-inf, 0.07)",30,0.25,15,15,0.5,-1.0986122886681098,0.3662040962227033,0.04360401198037899,CTMmean,equiangular_wc,,,,
"[0.07, inf)",90,0.75,75,15,0.16666666666666666,0.5108256237659905,0.17027520792199694,0.021055961601308806,CTMmean,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,equiangular_wc,,,,
,120,1.0,90,30,0.25,,0.5364793041447002,0.06465997358168779,CTMmean,equiangular_wc,,,,
"(-inf, 0.08)",52,0.43333333333333335,42,10,0.19230769230769232,0.33647223662121273,0.04486296488282842,0.005581565827367789,CTMmean,equinorm_uc,,,,
"[0.08, 0.17)",49,0.4083333333333333,39,10,0.20408163265306123,0.26236426446749084,0.02623642644674912,0.0032701793908122487,CTMmean,equinorm_uc,,,,
"[0.17, inf)",19,0.15833333333333333,9,10,0.5263157894736842,-1.203972804325936,0.2809269876760517,0.033137658270401604,CTMmean,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,equinorm_uc,,,,
,120,1.0,90,30,0.25,,0.3520263790056292,0.04198940348858164,CTMmean,equinorm_uc,,,,
