method,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,0.10091493312043076,0.013743704905519094,0.01635109967988686,0.02388023973193643,0.003974999260039859,0.013652375987127641,0.016468267725957532,0.06426437958910172
CTMmeanOC,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
Energy,-0.005096662962733145,-0.0002587321042412329,0.0003536469168334405,-0.001185615173181513,0.01174577053344849,-0.003377941455574347,0.0012855853360120202,-0.0049660510905636356
GE,-0.0007217248794852617,-0.003666615407740867,-0.006237693532193821,-0.0032031313074897794,0.005821169343659133,0.0015439765038086964,-0.0015595036486549297,0.0055235229280968055
GEN,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
GradNorm,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
MLS,-0.005096662962733145,-0.0002587321042412329,0.0003536469168334405,-0.001185615173181513,0.01174577053344849,-0.003377941455574347,0.0012855853360120202,-0.0049660510905636356
MSR,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
NNGuide,0.05599637657843766,0.010814323690026823,0.02025515528828087,0.023226050866799474,0.028635087812983843,0.012524992640921115,0.02145063470673941,0.0755973784158108
NeCo,-0.0007217248794852617,-0.003666615407740867,-0.006237693532193821,-0.0032031313074897794,0.005821169343659133,0.0015439765038086964,-0.0015595036486549297,0.0055235229280968055
PCE,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
PE,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
REN,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
fDBD,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
