feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
equinorm_wc,1.1757431988669569,0.27883299541958184,2,1
self_duality,1.100377382785584,0.22542588101402036,3,2
var_collapse,1.3414408379499576,0.09853516938013133,1,3
equiangular_uc,0.49026516460942027,0.0972539517950244,5,4
max_equiangular_uc,0.37869885420354626,0.09096771084310841,7,5
equiangular_wc,0.3330820953129141,0.0889341633240513,8,6
equinorm_uc,0.6626287890787429,0.061087307051079336,4,7
max_equiangular_wc,0.43336712439746217,0.058962821173003124,6,8
