feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
equiangular_wc,0.6936441585332448,0.15394331041780335,6,1
max_equiangular_wc,0.8406869813665506,0.14491763957101594,5,2
equiangular_uc,0.48146250596718976,0.1344217487849195,8,3
max_equiangular_uc,0.4976356243667154,0.13404959926663296,7,4
self_duality,0.9075288012849684,0.11540570794258219,4,5
var_collapse,0.9364487502822674,0.11475015948501786,3,6
equinorm_uc,1.2436093367352143,0.10678958235115832,1,7
equinorm_wc,0.9729125698128764,0.09572225218087,2,8
