,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-1.3034475102615348,1.2321141882118214,-0.5887966319328148,0.9246027538733159,-0.6336915631075427,0.9161750693485156,-0.7215895972796003,-1.408978183732622
CTMmean,0.2668278206464588,1.3684748682217918,-1.091847260458528,0.39762188628284983,-1.476149624663085,1.0368788402870797,-1.52912258109531,0.03297709669124239
CTMmeanOC,0.2668278206464588,1.3684748682217918,-1.091847260458528,0.39762188628284983,-1.476149624663085,1.0368788402870797,-1.52912258109531,0.03297709669124239
Energy,1.0012736374374984,-1.0145505097024583,0.8751146023182015,-0.5448325349542826,-0.06489749777713297,-0.7894492200874136,1.2107579752065183,-1.4893115608148209
KPCA RecError global,0.2668278206464588,1.3684748682217918,-1.091847260458528,0.39762188628284983,-1.476149624663085,1.0368788402870797,-1.52912258109531,0.03297709669124239
MLS,1.0012736374374984,-1.0145505097024583,0.8751146023182015,-0.5448325349542826,-0.06489749777713297,-0.7894492200874136,1.2107579752065183,-1.4893115608148209
NNGuide,1.0012736374374984,-1.0145505097024583,0.8751146023182015,-0.5448325349542826,-0.06489749777713297,-0.7894492200874136,1.2107579752065183,-1.4893115608148209
NeCo,1.0012736374374984,-1.0145505097024583,0.8751146023182015,-0.5448325349542826,-0.06489749777713297,-0.7894492200874136,1.2107579752065183,-1.4893115608148209
ViM,1.573652804751505,0.069516970162296,-0.5945557597393316,-0.6792305891973666,-1.1133722088512363,0.11745182309835837,-0.8717733673422722,1.5653531343849207
fDBD,-1.0077040153410581,-0.017556310454923507,0.08884638951132304,0.3636662800818848,1.669096199526645,-0.02930964565464089,0.12115776430327535,1.0690109475341396
